‾	surlignéation, trait suscrit, vinculé
📭️	baissé, boîte, courrier, drapeau, lettres, ouverte
📮	boîte aux lettres, boîte postale, courrier
✒️	plume noire, stylo
🖋️	stylo, stylo-plume
🖍️	crayon de cire, crayon pastel
📆	calendrier, calendrier à effeuiller, éphéméride
📇	carte, fiche, index, rolodex
📈	croissance, graphique, hausse, tendance
📉	baisse, chute, données, graphique, négative, tendance
📊	barres, graphique
📋️	fournitures, presse-papiers
📌	fournitures, épingle
📍	fournitures, épingle à tête ronde
🖇️	fournitures, trombones accrochés
🗄️	classeur, dossier
🗑️	corbeille
🔒️	cadenas, fermé, verrouiller, verrouillé
🔓️	cadenas, déverrouiller, déverrouillé, ouvert
🔏	cadenas, cadenas fermé avec stylo, confidentialité, encre, stylo
🔐	cadenas, cadenas avec clé, clé, fermé, sécurisé, sûr, verrouillé
⛏️	mine, outil, pic
⚒️	marteau, marteau et pic, pic
💣️	bande dessinée, bombe
🪃	boomerang, outil, retour, répercussion
🏹	arc, flèche, sagittaire, zodiaque
🪚	bois, outil, scie, scie à bois, scie égoïne
🔩	outil, vis, écrou
⚙️	engrenage, outil
🗜️	outil, serre-joint, étau
⚖️	balance, balance à poids, zodiaque
🪜	barreau, escabeau, monter, échelle
🔬	microscope, outi, science
🪞	glace, miroir, reflet
🛋️	canapé, divan, lampe, sofa, sofa et lampe
🚽	cabinet de toilette, siège de toilette, toilettes
🪠	débouchoir, force, plombier, succion, toilette, ventouse
🪤	apât, piège, piège à souris
🧻	essuie-main, essuie-tout, papier hygiénique, papier toilette, rouleau de papier
🪣	chaudière, seau
🧼	bain, mousse, pain, savon, savonnette
🛒	chariot, panier, panier d’épicerie, shopping
🧿	amulette, mauvais œil, nazar, talisman
🗿	moaï, statue
🏧	bancaire, banque, gab, guichet, guichet automatique bancaire
♿️	accès handicapés, symbole de fauteuil roulant
🚹️	sanitaires, toilettes, toilettes pour hommes
🚺️	sanitaires, toilettes, toilettes pour femmes
🚻	toilettes
🚼️	bébé, symbole bébé, table à langer
🚾	symbole Toilettes, toilettes
🛂	contrôle, contrôle des passeports, douane, passeport
🛄	bagages, retrait des bagages, tapis à bagages
🛅	bagages, consigne à bagages
⚠️	avertissement
🚸	attention, attention, enfants, circulation, enfant, enfants, passage, piétons
🚫	interdit
🚭️	fumer, interdiction, interdiction de fumer, interdit, non fumeur
🚯	déchet, dépôt d’ordures interdit, interdiction, interdit, ordure
🚱	eau, non potable
📵	cellulaire, interdiction, interdit, mobile, portable, téléphones cellulaires interdits
🔞	18, 18 ans et plus, dix-huit, interdiction
☣️	biologique, danger
⬆️	direction, en haut, flèche, flèche pointant vers le haut, nord, point cardinal
↗️	direction, en haut à droite, flèche, flèche pointant vers le haut à droite, nord-est, point intercardinal
➡️	direction, est, flèche, flèche pointant vers la droite, point cardinal, à droite
↘️	direction, en bas à droite, flèche pointant vers le bas à droite, lèche, point intercardinal, sud-est
⬇️	direction, en bas, flèche, flèche pointant vers le bas, point cardinal, sud
↙️	direction, en bas à gauche, flèche, flèche pointant vers le bas à gauche, point intercardinal, sud-ouest
⬅️	direction, flèche, flèche pointant vers la gauche, ouest, point cardinal, à gauche
↖️	direction, en haut à gauche, flèche, flèche pointant vers le haut à gauche, nord-ouest, point intercardinal
↕️	bas haut, en bas et en haut, en haut et en bas, flèche, flèche pointant vers le haut et vers le bas, haut bas
↔️	droite gauche, flèche, flèche pointant à gauche et à droite, gauche droite, à droite et à gauche, à gauche et à droite
↮	barrée, droite, flèche, gauche
↩️	courbe vers la gauche, flèche, flèche courbe vers la gauche
↪️	courbe vers la droite, flèche, flèche courbe vers la droite
⤴️	courbe vers le haut, flèche, flèche courbe vers le haut
⤵️	courbe vers le bas, flèche, flèche courbe vers le bas
🔃	flèche, flèches verticales dans le sens horaire, horaire, recharger, sens des aiguilles d’une montre, vertical
🔄	antihoraire, flèche, flèches verticales dans le sens antihoraire, sens inverse des aiguilles d’une montre
🔙	back, flèche, retour, étiquette « BACK » et flèche
🔚	end, fin, flèche, étiquette « END » et flèche
🔛	en marche, flèche, on, étiquette « ON! » et flèche
🔜	bientôt, flèche, soon, étiquette « SOON » et flèche
🔝	dessus, flèche, haut, top, étiquette « TOP » et flèche
☦️	chrétien, croix, orthodoxe, réligion
☪️	croissant, islam, musulman, religion, étoile, étoile et croissant de lune
🕎	chandelier, menora, religion
🔯	6 branches, fortune, six branches, étoile, étoile à 6 branches et point au milieu
♈️	Bélier zodiaque, bélier, zodiaque
♉️	Taureau, zodiaque
♊️	Gémeaux, zodiaque
♋️	Cancer, zodiaque
♌️	Lion, zodiaque
♍️	Vierge, zodiaque
♎️	Balance, zodiaque
♏️	Scorpion, Scorpion zodiaque, zodiaque
♐️	Sagittaire, zodiaque
♑️	Capricorne, zodiaque
♒️	Verseau, zodiaque
♓️	Poissons, zodiaque
⛎️	Serpentaire, zodiaque
🔀	aléatoire, bouton de lecture aléatoire, croisées, flèches
🔁	bouton de répétition, flèches, horaire, répéter, répétition, sens des aiguilles d’une montre
🔂	bouton de répétition unique, flèches, horaire, répéter une fois, répétition unique, sens des aiguilles d’une montre
▶	bouton, bouton de lecture, droite, flèche, jouer, lecture, lire, triangle
⏩	avance rapide, bouton d’avance rapide, double, flèches, rapide
⏭	bouton piste suivante, flèches, piste suivante, suivant, triangle
⏯	bouton lecture/pause, droite, flèche, lecture, pause, triangle
◀	bouton, bouton de retour, flèche, gauche, retour, triangle
⏪	bouton de retour rapide, double, flèches, rapide, rembobiner, retour rapide
⏮	bouton piste précédente, flèches, piste précédente, précédent, triangle
🔼	bouton vers le haut, flèche, haut, triangle
⏫	accès rapide vers le haut, bouton d’accès rapide vers le haut, double, flèche, triangle
🔽	bas, bouton vers le bas, flèche, triangle
⏬	accès rapide vers le bas, bouton d’accès rapide vers le bas, double, flèche, triangle
⏸️	barres, bouton pause, double, pause, vertical
⏹️	bouton, carré, stop
⏺️	bouton, bouton enregistrer, cercle, enregistrement
🔅	faible, luminosité
🔆	luminosité, élevée
📶	barres de signal
🛜	internet, ordinateur, réseau, sans fil
📳	cellulaire, mobile, mode, mode vibration, téléphone, vibration
📴	cellulaire, mobile, téléphone, téléphone cellulaire éteint, éteint
⚧️	symbole de la communauté transgenre, symbole transgenre, transgenre
✖️	*, annuler, multiplier, non, signe de multiplication, x, ×
➕️	+, addition, arithmétique, mathématiques, plus, signe d’addition
➖️	-, arithmétique, mathématiques, moins, signe de soustraction, soustraction, −
➗️	/, arithmétique, division, mathématiques, signe de division, ÷
❓️	point d’interrogation, point d’interrogation rouge, ponctuation, question
❔️	point d’interrogation, point d’interrogation blanc, ponctuation, question
❕️	point d’exclamation, point d’exclamation blanc, ponctuation, question
💱	argent, banque, change, devise
💲	argent, devise, dollar, symbole du dollar en gras
⚕️	Asclépios, médecine, professionnel de la santé, symbole de la médecine, symbole la médecine
♻️	recyclage, symbole de recyclage
🔰	chevron, débutant, feuille, japonais, symbole, symbole japonais du débutant
⭕️	cercle, grand, o, rouge
✔️	coche, coche noire, marque
❌️	annuler, croix, multiplication, multiplier, x
〽️	alternance, marque, marque d’alternance, symbole
✳️	astérique, astérique à huit branches, huit branches
✴️	huit branches, étoile, étoile à huit branches
©️	c, copyright, droit d’auteur, symbole copyright, ©
™️	marque de commerce, marque déposée, md
🫟	dégât, encre, holi, liquide, peinture, renversé, tache
#⃣	dessus de touche, dessus de touche : #
*⃣	dessus de touche, dessus de touche : *
0⃣	dessus de touche, dessus de touche : 0
1⃣	dessus de touche, dessus de touche : 1
2⃣	dessus de touche, dessus de touche : 2
3⃣	dessus de touche, dessus de touche : 3
4⃣	dessus de touche, dessus de touche : 4
5⃣	dessus de touche, dessus de touche : 5
6⃣	dessus de touche, dessus de touche : 6
7⃣	dessus de touche, dessus de touche : 7
8⃣	dessus de touche, dessus de touche : 8
9⃣	dessus de touche, dessus de touche : 9
🔟	dessus de touche, dessus de touche : 10
🔠	ABCD, latin, lettres, majuscules, saisie
🔡	abcd, latin, lettres, minuscules, saisie
🔢	1234, chiffres, nombres, saisie, saisie de chiffres
🔣	%, &, saisie, symboles, ♪, 〒
🔤	abc, alphabet, latin, lettres, saisie
🅰️	A, groupe sanguin
🆎	AB, groupe sanguin
🅱️	B, groupe sanguin
🆑	bouton Effacer, cl, effacer
🆓	bouton free, free, gratuit
ℹ️	i, informations
🆕	bouton NEW, bouton Nouveau, new, nouveau
🆖	NG, bouton NG, bouton Pas bien, no go, not good, pas bien, pas bon
🅾️	O, groupe sanguin
🅿️	icône Stationnement, parking, stationnement
🆘	SOS, aide, bouton SOS, secours
🆙	icône UP!, nouveau, nouveauté, up
🆚	bouton VS, c., contre, vs
🈁	bouton, ici, japonais, katakana, symbole japonais signifiant « ici »
🈶	idéogramme, japonais, payant, symbole japonais signifiant « payant », 有
🈯	idéogramme, japonais, réservé, symbole japonais signifiant « réservé », 指
🉐	aubaine, idéogramme, japonais, symbole japonais signifiant « aubaine », 指
🈹	idéogramme, japonais, rabais, symbole japonais signifiant « rabais », 割
🈚	bouton, gratuit, japonais, symbole japonais signifiant « gratuit »
🈲	bouton, interdit, japonais, symbole japonais signifiant « interdit »
🉑	acceptable, bouton, japonais, symbole japonais signifiant « acceptable »
🈸	application, bouton, japonais, symbole japonais signifiant « application »
🈴	bouton, japonais, note, passage, symbole japonais signifiant « note de passage »
🈳	bouton, chambres disponibles, idéogramme vide, japonais
㊗️	félicitations, idéogramme, japonais, symbole japonais signifiant « félicitations », 祝
㊙️	idéogramme, japonais, secret, symbole japonais signifiant « secret », 秘
🈺	idéogramme, japonais, ouvert, symbole japonais signifiant « ouvert », 営
🈵	complet, idéogramme, japonais, symbole japonais signifiant « complet », 満
🔴	cercle, disque, géométrie, rond, rouge, sphère
🟠	cercle, cercle orange, disque, géométrie, orange, rond, sphère
🟡	cercle, cercle jaune, disque, géométrie, jaune, rond, sphère
🟢	cercle, cercle vert, disque, géométrie, rond, sphère, vert
🔵	bleu, cercle, disque, géométrie, rond, rond bleu, sphère
🟣	cercle, cercle violet, disque, géométrie, rond, sphère, violet
🟤	brun, cercle, cercle brun, disque, géométrie, rond, sphère
⚫️	cercle, disque, géométrie, noir, rond, rond noir, sphère
⚪️	blanc, cercle, disque, géométrie, rond, rond blanc, sphère
🟥	carré, rouge
🟧	carré, orange
🟨	carré, jaune
🟩	carré, vert
🟦	bleu, carré
🟪	carré, violet
🟫	brun, carré, carré brun
◼️	carré noir de taille moyenne, forme, géométrie
◻️	carré blanc de taille moyenne, forme, géométrie
◾️	carré noir de taille intermédiaire, forme, géométrie
◽️	carré blanc de taille intermédiaire, forme, géométrie
🔶	grand, géométrie, losange, orange
🔷	bleu, grand, géométrie, losange
🔸	géométrie, losange, orange, petit
🔹	bleu, géométrie, losange, petit
🔺	géométrie, rouge, triangle qui pointe vers le haut, triangle rouge qui pointe vers le haut
🔻	géométrie, rouge, triangle qui pointe vers le bas, triangle rouge qui pointe vers le bas
🔳	bouton, bouton représentant un carré blanc, carré blanc, géométrie
🔲	bouton, bouton représentant un carré noir, carré noir, géométrie
🏳‍⚧	blanc, bleu pâle, drapeau, rose, transgenre
🇦🇨	drapeau : île de l’Ascension
🇦🇩	drapeau : Andorre
🇦🇪	drapeau : Émirats arabes unis
🇦🇫	drapeau : Afghanistan
🇦🇬	drapeau : Antigua-et-Barbuda
🇦🇮	drapeau : Anguilla
🇦🇱	drapeau : Albanie
🇦🇲	drapeau : Arménie
🇦🇴	drapeau : Angola
🇦🇶	drapeau : Antarctique
🇦🇷	drapeau : Argentine
🇦🇸	drapeau : Samoa américaines
🇦🇹	drapeau : Autriche
🇦🇺	drapeau : Australie
🇦🇼	drapeau : Aruba
🇦🇽	drapeau : îles d’Åland
🇦🇿	drapeau : Azerbaïdjan
🇧🇦	drapeau : Bosnie-Herzégovine
🇧🇧	drapeau : Barbade
🇧🇩	drapeau : Bangladesh
🇧🇪	drapeau : Belgique
🇧🇫	drapeau : Burkina Faso
🇧🇬	drapeau : Bulgarie
🇧🇭	drapeau : Bahreïn
🇧🇮	drapeau : Burundi
🇧🇯	drapeau : Bénin
🇧🇱	drapeau : Saint-Barthélemy
🇧🇲	drapeau : Bermudes
🇧🇳	drapeau : Brunéi
🇧🇴	drapeau : Bolivie
🇧🇶	drapeau : Pays-Bas caribéens
🇧🇷	drapeau : Brésil
🇧🇸	drapeau : Bahamas
🇧🇹	drapeau : Bhoutan
🇧🇻	drapeau : île Bouvet
🇧🇼	drapeau : Botswana
🇧🇾	drapeau : Bélarus
🇧🇿	drapeau : Bélize
🇨🇦	drapeau : Canada
🇨🇨	drapeau : îles Cocos (Keeling)
🇨🇩	drapeau : Congo-Kinshasa
🇨🇫	drapeau : République centrafricaine
🇨🇬	drapeau : Congo-Brazzaville
🇨🇭	drapeau : Suisse
🇨🇮	drapeau : Côte d’Ivoire
🇨🇰	drapeau : îles Cook
🇨🇱	drapeau : Chili
🇨🇲	drapeau : Cameroun
🇨🇳	drapeau : Chine
🇨🇴	drapeau : Colombie
🇨🇵	drapeau : île Clipperton
🇨🇷	drapeau : Costa Rica
🇨🇺	drapeau : Cuba
🇨🇻	drapeau : Cap-Vert
🇨🇼	drapeau : Curaçao
🇨🇽	drapeau : île Christmas
🇨🇾	drapeau : Chypre
🇨🇿	drapeau : Tchéquie
🇩🇪	drapeau : Allemagne
🇩🇬	drapeau : Diego Garcia
🇩🇯	drapeau : Djibouti
🇩🇰	drapeau : Danemark
🇩🇲	drapeau : Dominique
🇩🇴	drapeau : République dominicaine
🇩🇿	drapeau : Algérie
🇪🇦	drapeau : Ceuta et Melilla
🇪🇨	drapeau : Équateur
🇪🇪	drapeau : Estonie
🇪🇬	drapeau : Égypte
🇪🇭	drapeau : Sahara occidental
🇪🇷	drapeau : Érythrée
🇪🇸	drapeau : Espagne
🇪🇹	drapeau : Éthiopie
🇪🇺	drapeau : Union européenne
🇫🇮	drapeau : Finlande
🇫🇯	drapeau : Fidji
🇫🇰	drapeau : îles Malouines
🇫🇲	drapeau : Micronésie
🇫🇴	drapeau : îles Féroé
🇫🇷	drapeau : France
