‾	መስመር ላይ
👬🏽	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-4, ዞድያክ, የቆዳ ዓይነት-4, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏽‍🤝‍👨🏾	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-5, ዞድያክ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏽‍🤝‍👨🏿	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-4 እና የቆዳ ዓይነት-6, ዞድያክ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏾‍🤝‍👨🏻	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-1-2, ዞድያክ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏾‍🤝‍👨🏼	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-5 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዞድያክ, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏾‍🤝‍👨🏽	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-4, ዞድያክ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👬🏾	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-5, ዞድያክ, የቆዳ ዓይነት-5, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏾‍🤝‍👨🏿	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-5 እና የቆዳ ዓይነት-6, ዞድያክ, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏿‍🤝‍👨🏻	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-1-2, ዞድያክ, የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏿‍🤝‍👨🏼	ሆሮስኮፕ, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-6 እና መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ዞድያክ, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏿‍🤝‍👨🏽	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-4, ዞድያክ, የቆዳ ዓይነት-4, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👨🏿‍🤝‍👨🏾	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-6 እና የቆዳ ዓይነት-5, ዞድያክ, የቆዳ ዓይነት-5, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
👬🏿	ሆሮስኮፕ, መንትዮች, መያዝ እጅ, ኤልጂቢቲኪው, እጅ ለእጅ የተያያዙ ሰዎች, እጅ ለእጅ የተያያዙ ወንዶች, እጅ ለእጅ የተያያዙ ወንዶች: የቆዳ ዓይነት-6, ዞድያክ, የቆዳ ዓይነት-6, ጄምኒ, ጥንዶች, ፍካሬ ከዋክብት
💏	መሳም, መሳሳም, ጥንዶች, ፍቅር
💏🏻	መሳም, መሳም: የቆዳ ዓይነት-1-2, መሳሳም, የቆዳ ዓይነት-1-2, ጥንዶች, ፍቅር
💏🏼	መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሳም, መሳም: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሳሳም, ጥንዶች, ፍቅር
💏🏽	መሳም, መሳም: የቆዳ ዓይነት-4, መሳሳም, የቆዳ ዓይነት-4, ጥንዶች, ፍቅር
💏🏾	መሳም, መሳም: የቆዳ ዓይነት-5, መሳሳም, የቆዳ ዓይነት-5, ጥንዶች, ፍቅር
💏🏿	መሳም, መሳም: የቆዳ ዓይነት-6, መሳሳም, የቆዳ ዓይነት-6, ጥንዶች, ፍቅር
👩‍❤‍💋‍👨	መሳም, መሳም: ሴት እና ሰው, መሳሳም, ሰው, ሴት, ጥንዶች, ፍቅር
👨‍❤‍💋‍👨	መሳም, መሳም: ሰው እና ሰው, መሳሳም, ሰው, ጥንዶች, ፍቅር
👩‍❤‍💋‍👩	መሳም, መሳም: ሴት እና ሴት, መሳሳም, ሴት, ጥንዶች, ፍቅር
💑	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ጥንዶች, ፍቅር
💑🏻	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: የቆዳ ዓይነት-1-2, የቆዳ ዓይነት-1-2, ጥንዶች, ፍቅር
💑🏼	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: መሃከለኛ ቀላ ያለ የቆዳ ቀለም, መሃከለኛ ቀላ ያለ የቆዳ ቀለም, ጥንዶች, ፍቅር
💑🏽	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: የቆዳ ዓይነት-4, የቆዳ ዓይነት-4, ጥንዶች, ፍቅር
💑🏾	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: የቆዳ ዓይነት-5, የቆዳ ዓይነት-5, ጥንዶች, ፍቅር
💑🏿	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: የቆዳ ዓይነት-6, የቆዳ ዓይነት-6, ጥንዶች, ፍቅር
👩‍❤‍👨	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: ሴት እና ሰው, ሰው, ሴት, ጥንዶች, ፍቅር
👨‍❤‍👨	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: ሰው እና ሰው, ሰው, ጥንዶች, ፍቅር
👩‍❤‍👩	ልብ, ልብ በመሃላቸው ያሉ ጥንዶች, ልብ በመሃላቸው ያሉ ጥንዶች: ሴት እና ሴት, ሴት, ጥንዶች, ፍቅር
👨‍👩‍👦	ልጅ, ሰው, ሴት, ቤተሰብ, ቤተሰብ: ሰው፣ ሴት እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👩‍👧	ልጃገረድ, ልጅ, ሰው, ሴት, ቤተሰብ, ቤተሰብ: ሰው፣ ሴት እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👨‍👩‍👧‍👦	ልጃገረድ, ልጅ, ሰው, ሴት, ቤተሰብ, ቤተሰብ: ሰው፣ ሴት፣ ልጃገረድ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👩‍👦‍👦	ልጅ, ሰው, ሴት, ቤተሰብ, ቤተሰብ: ሰው፣ ሴት፣ ወንድ ልጅ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👩‍👧‍👧	ልጃገረድ, ልጅ, ሰው, ሴት, ቤተሰብ, ቤተሰብ: ሰው፣ ሴት፣ ልጃገረድ እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👨‍👨‍👦	ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ሰው እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👨‍👧	ልጃገረድ, ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ሰው እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👨‍👨‍👧‍👦	ልጃገረድ, ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ሰው፣ ልጃገረድ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👨‍👦‍👦	ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ሰው፣ ወንድ ልጅ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👨‍👧‍👧	ልጃገረድ, ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ሰው፣ ልጃገረድ እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👩‍👩‍👦	ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ሴት እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👩‍👩‍👧	ልጃገረድ, ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ሴት እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👩‍👩‍👧‍👦	ልጃገረድ, ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ሴት፣ ልጃገረድ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👩‍👩‍👦‍👦	ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ሴት፣ ወንድ ልጅ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👩‍👩‍👧‍👧	ልጃገረድ, ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ሴት፣ ልጃገረድ እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👨‍👦	ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👦‍👦	ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ወንድ ልጅ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👧	ልጃገረድ, ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👨‍👧‍👦	ልጃገረድ, ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ልጃገረድ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👨‍👧‍👧	ልጃገረድ, ልጅ, ሰው, ቤተሰብ, ቤተሰብ: ሰው፣ ልጃገረድ እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👩‍👦	ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👩‍👦‍👦	ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ወንድ ልጅ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👩‍👧	ልጃገረድ, ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
👩‍👧‍👦	ልጃገረድ, ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ልጃገረድ እና ወንድ ልጅ, አባት, እናት, እናት አባትና ልጅ, ወንድ ልጅ
👩‍👧‍👧	ልጃገረድ, ልጅ, ሴት, ቤተሰብ, ቤተሰብ: ሴት፣ ልጃገረድ እና ልጃገረድ, አባት, እናት, እናት አባትና ልጅ
🗣️	መናገር, ራስ, ባለ አንድ ቀለም ምስል, እየተናገረ ያለ ራስ, ፊት
👤	ሐውልት, ምስጢራዊ, ሲሉዌት, የሰው ጥላ
👥	ሐውልት, ሲሉዌት, የሰው ጥላ, የሰው ጥላዎች, የሰዎች ጥላ
🫂	መተቃቀፍ, ማቀፍ, ማፅናናት, ሰዎች ሲተቃቀፉ, ስንብት, ሽኝት, ቻው, ደህና ሁን, ደህና ሁኚ, ጓደኝነት, ፍቅር
👪️	ልጅ, ቤተሰብ, አባት, እናት, እናት አባትና ልጅ
🧑‍🧑‍🧒	ቤተሰብ፦ አዋቂ፣ አዋቂ፣ ልጅ
🧑‍🧑‍🧒‍🧒	ቤተሰብ፦ አዋቂ፣ አዋቂ፣ ልጅ፣ ልጅ
🧑‍🧒	ቤተሰብ፦ አዋቂ፣ ልጅ
🧑‍🧒‍🧒	ቤተሰብ፦ አዋቂ፣ ልጅ፣ ልጅ
👣	አልባሳት, አሻራ, አካል, ውስጥ እግር, የእግር ዱካ
🫆	መርማሪ, ማተም, ማንነት, ምስጢር, ወንጀል, የጣት አሻራ, ደህንነት, ፈለግ, ፍንጭ, ፎረንሲክስ
🦰	ቀይ ጸጉር, ጂንጀር
🦱	አፍሮ, የተጠቀለለ, የተጠቀለለ ጸጉር, ጉንጉን
🦳	ነጭ, ነጭ ጸጉር, አሮጌ, ገብስማ, ጸጉር
🦲	መላጣ, ኬሞቴራፒ, የተላጨ, ጸጉር የሌለው
🐵	ሙዝ, እንስሳ, የማወቅ ጉጉት ያለው ጆርጅ, የጦጣ ፊት, ጦጣ, ፊት
🐒	ሙዝ, እንስሳ, ጦጣ
🦍	እንስሳ, ጉሬላ, ጉሬዛ
🦧	መንጠላጠል, እንስሳ, ኦራንጉታን ዝንጀሮ, ዝንጀሮ, ጦጣ
🐶	ቡችላ, ቡችላዎች, እንስሳ, ውሻ, የሚያምር, የቤት እንስሳ, የውሻ ፊት, ፊት
🐕️	እንስሳ, እንስሳት, ውሻ, ውሻዎች, የቤት እንስሳ
🦮	መመሪያ, መሪ ውሻ, መንገድ መሪ, ተደራሽነት, እውር, ዓይነ ስውር, የሚመራ ውሻ, የቤት እንስሳ
🐕‍🦺	ተደራሽ, ተደራሽነት, አገልግሎት, አገልግሎት ሰጪ ውሻ, እርዳታ, ውሻ, የቤት እንስሳ
🐩	ለስላሳ ፀጉር, እንስሳ, ውሻ, ጥቅጥቅ ያለ ፀጉር, ጸጉራም ፑድል ውሻ, ፑድል
🐺	ተኩላ, እንስሳ, የተኩላ ፊት, ፊት
🦊	ቀበሮ, እንስሳ, የቀበሮ ፊት, ፊት
🦝	ራኩን, ተንኮለኛ, እንስሳ, ጉጉ
🐱	ሙጭሊት, እንስሳ, ውሮ, የቤት እንስሳ, የድመት ግልገል, የድመት ፊት, ድመት, ፊት
🐈️	ሙጭሊት, እንስሳ, እንስሳት, የቤት እንስሳ, የድመት ግልገል, ድመት, ድመቶች
🐈‍⬛	ሃሎዊን, ሚያው, እንስሳ, እድለ ቢስ, የድመት ዝርያ, ድመት, ጥቁር, ጥቁር ድመት
🦁	ሊዮ, ሮር, ሳፋሪ, አልፋ, አንበሳ, እንስሳ, እንደ አንበሳ ማግሳት, ዞዲያክ, የአንበሳ ትዕዛዝ, የአንበሳ ጋማ, የአንበሳ ፊት, ጠንካራ, ፊት
🐯	መከነ አራዊት, ትልቅ ድመት, ነብር, አዳኝ, እንስሳ, የነብር ፊት, ፊት
🐅	መከነ አራዊት, ትልቅ ድመት, ነብር, አዳኝ, እንስሳ, እንስሳት
🐆	መካነ አራዊት, ትልቅ ድመት, አነር, አዳኝ, እንስሳ, እንስሳት
🐴	እርሻ, እንስሳ, ኮርቻ, የፈረስ ፊት, ፈረስ, ፈረስ መግራት, ፈረሶች, ፊት
🫎	ሙስ, ቀንድ አውጣዎች, ትልቅ አጋዘን, አጋዘን, ኤልክ, እንስሳ, እጥቢ
🫏	መራገጥ, መቀመጫ, በቅሎ, አህያ, አጥቢ, እንስሳ, የሚራገጥ አህያ, ግትር
🐎	ቅድመ ዝግጅት, ባለሶስት ዘውድ, እርሻ, እሽቅድምድም, እንስሳ, የቤልሞንት ካስማዎች, የእሽቅድምድም ፈረስ, የኬንቱኪ ደርቢ, የግልቢያ ፈረስ, ግልቢያ, ፈረስ, ፈረስ ጋላቢ
🦄	ባለ አንድ ቀንድ ፈረስ, ባለ አንድ ቀንድ ፈረስ ፊት, ዩኒኮርን, ፊት
🦓	እንስሳ, የሜዳ አህያ, ጥቁር እና ነጭ, ጭረት
🦌	አጋዘን, እንስሳ
🦬	እንስሳ, የሰሜን አሜሪካ ጎሽ, ጎሽ
🐮	ላም, ሙ, እርሻ, እንስሳት, ወተት, የላም ፊት, ፊት
🐂	በሬ, ታውረስ, እርሻ, እንስሳ, እንስሳት, ዞዲያክ
🐃	መካነ አራዊት, እንስሳ, እንስሳት, ውሃ, የውሃ ላይ ጎሽ, የውሃ አውራሪስ, ጎሽ
🐄	ላም, ሙ, እርሻ, እንስሳ, እንስሳት, ወተት
🐷	እርሻ, ዓሣማ, የአሣማ ስጋ, የዓሣማ ፊት, ፊት, ፖርክ
🐖	ቤከን, አርያ, እርሻ, እንስሳ, እንስሳት, ወፍራም, ዓሣማ, የዓሣማ ስጋ
🐗	እንስሳ, ዓሣማ, የጫካ ዓሣማ, ጌም ኦፍ ትሮን
🐽	ማሽተት, አፍንጫ, እርሻ, ዓሣማ, የእንስሳ አፍንጫ, የዓሣማ አፍንጫ, ፊት
🐏	መካነ አራዊት, ሙክት በግ, ቀንዶች, በግ, ኤሪስ, እንስሳ, እንስሳት, ዞዲያክ
🐑	ለስላሳ ፀጉር, ሱፍ, ሴት በግ, በእአ, በግ, እርባታ, እንስሳ
🐐	እርሻ, እንስሳ, እንስሳት, ካፕሪኮርን, ወተት, ዞዲያክ, ፍየል
🐪	ሻኛ, በርሃ, ባለ አንድ ሻኛ, ባለ አንድ ሻኛ ግመል, እንስሳ, ግመል
🐫	ሻኛ, በረሃ, ባለሁለት ሻኛ, ባለሁለት ሻኛ ግመል, ባክትሬን, እንስሳ, ግመል
🦙	ላማ, ሱፍ, ቪኩና, አልፓካ, እንስሳ, ደቡብ አሜሪካ, ግመል, ጓናኮ
🦒	ቀጭኔ, ነጠብጣብ, እንስሳ
🐘	እንስሳ, ዝሆን
🦣	ማሞዝ, እንስሳ, የዝሆን ዝርያ, ፀጉራም ማሞዝ
🦏	አውራሪስ, እንስሳ
🦛	እንስሳ, ጉማሬ, ጎማሬ
🐭	አይጥ, እንስሳ, የአይጥ ፊት, ፊት
🐁	አይጥ, እንስሳ, እንስሳት
🐀	አይጠሞጎጥ, አይጥ, እንስሳ
🐹	ሚጢጢ አይጥ, ሚጢጢ አይጥ ፊት, እንስሳ, የቤት እንስሳ, ፊት
🐰	ባኒ, እንስሳ, የቤት እንስሳ, የጥንቸል ፊት, ጥንቸል, ፊት
🐇	ባኒ, እንስሳ, እንስሳት, የቤት እንስሳ, ጥንቸል
🐿️	ሽካኮ, ቺፕመንክ, እንስሳ
🦫	እንስሳ, የአይጥ ዝርያ, ጥርስ
🦔	አጥቢ እንስሳ, እሾህ, እንስሳ, ጃርት
🦇	ቫምፓየር, አስፈሪ, እንስሳ, የሌሊት ወፍ
🐻	ማር, ማጉረምረም, እንስሳ, የድብ ፊት, ዮሰማይት, ድብ, ግራጫ, ፊት
🐻‍❄	ነጭ, አርክቲክ, የዋልታ ድብ, ድብ
🐨	አውስትራሊያ, እንስሳ, ከታችኛው አህጉር, ካኦላ, ድብ
🐼	ባምቦ, እንስሳ, የፓንዳ ፊት, ፊት, ፓንዳ
🦥	ሰነፍ, ስንፍና, ቀስ ብሎ የሚራመድ እንስሳ, እንስሳ, ዘገምተኛ
🦦	ተጫዋች, ትንሽ አውሬ, ኦተር, ዓሣ ማጥመድ, ዓሣ አዳኝ እንስሳ, ጨዋታ
🦨	መጥፎ ሽታ, ስካንክ, ሸለምጥማጥ, እንስሳ, ግማት
🦘	መዝለል, አውስትራሊያ, እንስሳ, ኪሴ, ካንጋሮ, ደስታ
🦡	ባጃር, እንስሳ, ውሻ የሚመስል እንሰሳ, የማር ባጃጅ, ጥርኝ, ጨቅጫቃ
🐾	መዳፍ, አሻራ, እግር, የእንሳሳ መዳፍ ዱካዎች, የእንስሳ መዳፍ
🦃	ቆቅ, እንስሳ, ወፍ, የምስጋና ቀን
🐔	ሴት ዶሮ, እንስሳ, ዶሮ
🐓	አውራ ዶሮ, እንስሳ, እንስሳት, ወፍ
🐣	ሕፃን, መፈልፈል, እንስሳ, እንቁላል, ከእንቁላል ተፈልፍላ የምትወጣ ጫጩት, ጫጩት
🐤	ሕፃን, ሚጢጢ ጫጩት, ወፍ, የዶሮ ጫጩት, ጫጩት
