‾	apọju
🕔️	00, 4, 4:00, Ago Marun un, ago, lù gérégé, márùn
🕠	30, 4, 4:30, Ago Marun un Aabọ, ago, márùn, ọgbọ̀n
🕕️	00, 6, 6:00, Ago Mẹfa, ago, lù gérégé, mẹ́fàa
🕡	30, 6, 6:30, Ago Mẹfa Aabọ, ago, mẹ́fàa, ọgbọ̀n
🕖️	00, 7, 7:00, Ago Meje, ago, lù gérégé, méje
🕢	30, 7, 7:30, Ago Meje Aabọ, ago, méje, ọgbọ̀n
🕗️	00, 8, 8:00, Ago Mẹjọ, ago, lù gérégé, méjọ
🕣	30, 8, 8:30, Ago Mejọ Aabọ, ago, méjọ, ọgbọ̀n
🕘️	00, 9, 9:00, Ago Mẹsan an, ago, lù gérégé, mẹ́san an
🕤	30, 9, 9:30, Ago Mẹsan an Aabọ, ago, mẹ́san an, ọgbọ̀n
🕙️	00, 10, 10:00, Ago Mẹwa, ago, lù gérégé, mẹ́wàá
🕥	10, 10:30, 30, Ago Mẹwa Aabọ, ago, mẹ́wàá, ọgbọ̀n
🕚️	00, 11, 11:00, Ago Mọkanla, ago, lù gérégé, mọ́kànlá
🕦	11, 11:30, 30, Ago Mọkanla Aabọ, ago, mọ́kánlá, ọgbọ̀n
🌑	dúdú, Òṣùpá Tuntun, òṣùpá
🌒	Yíyọ́ Ààbọ̀ Oṣùpá, kírísẹ́ntì, yíyọ́, òṣùpá
🌓	Oṣùpá Ìlàrin Àkọ́kọ́, ìdámẹ́rin, òṣùpá
🌔	Yíyọ́ Kíkún Oṣùpá, kíkùn, yíyọ́, òṣùpá
🌕️	Òṣùpá, Ẹ̀kúnrẹ́rẹ́, Ẹ̀kúnrẹ́rẹ́ Òṣùpá
🌖	Kíkún, Oṣùpá, Títàn, Títàn Kíkún Oṣùpá
🌗	Oṣùpá Ìlàrin Ìgbẹ̀yìn, ìdámẹ́rin, òṣùpá
🌘	Títàn Ààbọ̀ Oṣùpá, kírísẹ́ntì, òṣùpa kékeré, òṣùpá
🌙	Oṣùpá, Ààbọ̀, Ààbọ̀ Oṣùpá
🌚	Oju Òṣùpá Tuntun, ojú, oṣupa
🌛	Oṣùpá Ìlàrin Àkọ́kọ́ Pẹ̀lú Ojú, ojú, ìdámẹ́rin, òṣùpá
🌜️	Oṣùpá Ìlàrin Ìgbẹ̀yìn Pẹ̀lú Ojú, ojú, ìdámẹ́rin, òṣùpá
🌡️	ojú ọjọ́, òṣùwọ̀n ìgbóná
☀️	itanṣan oòrùn, ìmọ́lẹ̀, òrùn
🌝	ojú, ìmọ̀lẹ̀, òṣùpá, Ẹ̀kúnrẹ́rẹ́ Òṣùpá Pẹ̀lú Ojú, ẹ̀kún
🌞	Oorun Pẹlu Oju, ojú, ìmọ́lẹ̀, òrùn
🪐	plánẹ́tì oiringì, sàtọ́nì
⭐️	Irawọ Alaabọ Funfun, ìràwọ̀
🌟	Irawọ Titan, dán, dídán, tàn, ìràwọ̀
🌠	Irawọ Yiyọ, jíjábọ́, títa, ìràwọ̀
🌌	ààyè, Ọna Oniwara
☁️	ojú ọjọ́, òfurufú
⛅️	Oorun Lẹhin Ofurufu, òfurufú, òòrùn
⛈️	àrá, òfurufú, òfurufú pẹ̀lú ṣíṣáná àti òjò, òjò
🌤️	òfurufú, òòrùn, òòrùn lẹ́yìn òfurufú kékeré
🌥️	òfurufú, òòrùn, òòrùn lẹ́yìn òfurufú tó tóbi
🌦️	òfurufú, òjò, òòrùn, òòrùn lẹ́yìn òfurufú òjò
🌧️	òfurufú, òfurufú pẹ̀lú òjò, òjò
🌨️	yìnyín, òfurufú, òfurufú pẹ̀lú yìnyín, òtútù
🌩️	òfurufú, òfurufú pẹlu ṣíṣáná, ṣíṣáná
🌪️	ìjì, ìjì tó le, òfurufú
🌫️	kùrukùru, òfurufú
🌬️	atẹ́gùn, ojú, ojú atẹ́gùn, tayọ, òfurufú
🌀	àyí, ìjì, òyì, Ẹfuufu
🌈	òjò, òṣùmarè
🌂	Agboorun Toti, agbòrùn, aṣọ, òjò
☂️	agbòrùn, aṣọ, òjò
☔️	Agboorun Pẹlu Omi Ojo Kikan, agbòrùn, aṣọ, kán, òjó
⛱️	agbòrùn, agbòrùn ní ilẹ̀, òjò, òrùn
⚡️	Agbara Ina Giga, agbára iná, ewu, iná, mọ̀nọ̀mọ́nọ́, sáàpù
❄️	yìnyín, ìdìjọ òjò yìnyín, òtútù
☃️	yìnyín, òtútù, ọkùnrin yìnyín
⛄️	yìnyín, òtútù, Ọkunrin yinyin Laini Yinyin, ọkùnrin yìnyín
☄️	kamẹ́tì, ààyè
🔥	Iná, irinṣẹ́
💧	Drọ́púlẹ́ẹ̀tì, kán òógùn, àwàdà, òtútù
🌊	Iji Omi, omi, ìjì, òkun
🎃	Jack-o-Atupa, alowínì, ayẹyẹ, jáàkì, àtùpà
🎄	Igi Keresimesi, ayẹyẹ, igi, kérésìmesì
🎆	Iṣẹ́iná, ayẹyẹ
🎇	Olutan, ayẹyẹ, dán, iṣẹ́iná
🧨	ohun iná, olufa iná, olùfa iná, àwọn iṣẹ́ nǹkan
✨️	Awọn Titan, dán, ìràwọ̀
🎈	Bàlúùnù, ayẹyẹ
🎉	Ariwo Ayẹye, aláríyá, ayẹyẹ, tádà, àríyá
🎊	Bọọlu Kọnfẹti, ayẹyẹ, bọ́ọ̀lù, kọnfetí
🎋	Igi Tanabata, ayẹyẹ, igi, japanese, ánà
🎍	ayẹyẹ, eso ọ̀pẹ òyìnbó, igi bambú, japanese, Ẹṣọ Ọpẹ oyinbo
🎎	Awọn Ere Japanisi, Japanese, ayẹyẹ, omolankidi, àjọyọ̀
🎏	Olugekere Capu, ayẹyẹ, káàpù, ìbọsẹ̀ tí ń fò
🎐	Idun Iji, agogo, atẹ́gùn, ayẹyẹ, ìdún agogo
🎑	Wiwo Ayẹyẹ Oṣupa, ayẹyẹ, òṣùpá
🧧	akolẹ́tàsí pupa, oríre, owó, ẹ̀bùn
🎀	Ríbìnnì, ayẹyẹ
🎁	ayẹyẹ, wépọ̀, àpótí, Ẹbun Didi, ẹ̀bùn
🎗️	ayẹyẹ, ríbínì, ríbínì ìránilétí, ìránilétí
🎟️	àwọn ìwọlé ìgbaniwọlé, ìgbaniwọlé, ìwọlé
🎫	Iwe Iwọle, ìgbaniwọlé
🎖️	ayẹyẹ, fàdákà ológun
🏆️	Ife, ẹ̀bùn
🏅	Fadaka Ere idaraya, fàdákà
🥇	Fadaka Ipo Akọkọ, fádákà, góòlù, àkọ́kọ́
🥈	Fadaka Ipo Ekeji, fádákà, ipò kejì, sílífà
🥉	Fadaka Ipo Ẹkẹta, bírónsì, fàdákà, ipò kẹta
⚽️	Bọọlu Afẹsẹgba, bọ́ọ̀lù, bọ́ọ̀lù àfẹsẹ̀gbá
⚾️	Bọ́ọ̀lùòkè, bọ́ọ̀lù
🥎	abẹ́ apá, bọ́ọ̀lu olowo, bọ́ọ̀lù, gílọ́ọ̀fù
🏀	Bọ́ọ̀lùalágbọ̀n, bọ́ọ̀lù, òrùka onírin ńlá roboto
🏐	Folliboolu, bọ́ọ̀lù, eré
🏈	Bọọlu Amẹrika, amẹ́ríkà, bọ́ọ̀lù, bọ́ọ̀lù àfẹṣẹ̀gbá
🏉	Bọọlu Rọgibi, bọ́ọ̀lù, bọ́ọ̀lù rọ́gíbì, bọ́ọ̀lù àfẹṣẹ̀gbá
🎾	Tẹnisi, bọ́ọ̀lù, rákẹ̀tì
🥏	disiki fifo, nlá
🎳	Bolin, bọ́ọ̀lù, eré
🏏	bọ̀ọ́lù, eré, eré bọ́ọ̀lù afi pátákó gbá, pátákó ìgbá bọ́ọ̀lù
🏑	Họki Papa, bọ́ọ̀lù, eré, họ́kì, igi, pápá
🏒	Họki Yinyin, eré, họ́kì, igi, pọ́kì, yìnyín
🥍	bóòlù, goolù, igi, lakurose, lákúrósè
🏓	Bọọlu Ori Tabili, ajé ìwakọ̀, báàtì, bọ́ọ́lù
🏸	Badimitin, bẹ́ẹ̀dì, eré, ihò bọ́ọ̀lù, rákẹ̀tì
🥊	gilofu, gilofu ikanṣẹ, ikanṣẹ
🥋	Aṣọ Ere Itapa, eré onípàá àti ọwọ́, eré ẹlẹ́sẹ̀, eré ọlọ́wọ́, àwon eré onípàá àti ẹlẹ́sẹ̀, àǹkóò
🥅	góòlù, àwọ̀n, àwọ̀n góòlù
⛳️	Asia Ninu Iho, gọ́ọ̀fù, ihò
⛸️	síkétì, yìnyín, yìnyín síkétì
🎣	Opo Ipẹja, òpó, ẹja
🤿	bibe, fifo, iboju fifo, sikubá
🎽	sáàṣì, sísáré, àwọn tí ń sáré, Ṣẹẹti Isare, ṣẹ́ẹ̀tì
🎿	Awọn Siki, síkì, yínyìn
🛷	sílẹ̀, sílẹ́dì, sílẹ́jì
🥌	eré, òkúta, òkúta ìwọ́
🎯	Igba Taara, akọ màlú, eré, gún, pálí ayò, àfojúsùn, ọ̀gángọ́ ayò
🪀	aidúró, ohun isere omode, yóyò
🪁	fò, káìtì
🔫	ibọn ilewọ, irinṣẹ́, ìbọn, ìbọn ìléwó̩, ìbọn ṣakabùlà
🎱	8, Bọọlu Odo 8, bílíádì, bọ́ọ̀lù, eré, ẹ́ẹ́jọ
🔮	bọ́ó̩lù, bọọlu aworawọ, pàápàá, àló̩ ajẹmó̩win, àìbáyému, òkúta aworàwò̩, ọrọ̀
🪄	aje, emere, idán
🎮️	Ere-idaraya Fidio, eré, olùdarí
🕹️	Ere-idaraya, Ere-idaraya Fidio, ìdarí eré
🎰	eré, ìfisí, Ẹrọ Ifisi
🎲	Ere-idaraya Ludo, ayò, eré
🧩	itosona, ohun àdìtú, ìsopọ̀
🧸	ekùn ifi, kopo, ohun ifiṣeré, ẹkùn
🪅	Vote pinátà, ase, ayeye, pinátà
🪩	bọ́ọ̀lu onijigí, ijọ́ } tàn, àsè
🪆	dọ́lù, dọ́lù ìsimi, rosíà
♠️	eré, káàdì, ìpín káàdì sípèdì
♥️	eré, káàdì, ìpín káàdì ọkàn
♦️	eré, káàdì, ìpín káàdì díámọ́ndì
♣️	eré, káàdì, ìpín káàdì ewé
♟️	dúpẹ́, pọ́nì Ṣẹ́ẹ̀sì, ṣẹ́ẹ̀sì
🃏	Joka, eré, káàdì, káàdí ọlọ́pọ̀ ìlò
🀄️	Dragoni Pupa Mahjong, eré, mahjong, pupa
🎴	Káàdì ìṣeré Olódòdó, eré, japanese, káàdì, òdòdó, ń ṣeré
🎭️	Ere Awokọṣe, Eré oríìtàgé, iṣẹ́ ọná, tíátà, àwòkọ́ṣe, ìbòjú, ìtàgé
🖼️	férémù, ilé ọnà, iṣẹ́ ọná, kíkùn, àwòrán, àwọrán inú férémù
🎨	Pẹpẹ Oṣere, ilé ọnà, iṣẹ́ ọná, kíkùn, pálẹ́tì
🧵	abere, owú, rírán, òwú
🪡	abere, owú, ríránso, sopo, òwú ìránṣọ
🧶	asọ, bólì, rán, yáni
🪢	dì, kó, lọ́ } yí, ìsopọ̀
👓️	Dígí, aṣọ, dígí, gíláásì ojú, ìbòjú, ẹyinjú
🕶️	dúdú, gíláásì, gíláásì òrùn, ojú, ìbòjú
🥽	bẹ̀ sómi, gọ́gú, jíjọ́ irin pọ̀, ojú, wíwẹ́, wíwẹ́ nínú odò pẹ̀lù ohun èlò tí a fi ń mí, ìdáàbò bò
🥼	aso laabi, aso láabù, aṣọ ilé ìṣàyẹ̀wò, ise laabu, onimo sayensi, onísegub
🦺	abo, aso, aṣọ àbò, pàjáwìrì
👔	Okùnọrùn, Wíwọṣọ
👕	aṣọ, tṣẹ́ẹ̀tì, Ṣẹ́ẹ̀tì, Ṣẹẹti, ṣẹ́ẹ̀tì
👖	Jinsi, aṣọ, pátá, ṣòkòtò
🧣	síkáfù, ọrùn
🧤	ìbọ̀wọ́, ọwọ́
🧥	jákẹ́tì, kóòtù
🧦	ìbọ̀sẹ̀, ìbọ̀sẹ̀ obìnrin gígùn
👗	Aṣọ, Wíwọṣọ
👘	Kimono, Wíwọṣọ
🥻	aso, kaba, sari
🩱	aso ìlúwẹ́ẹ̀, aso ìwẹ̀
🩲	aso awọ́tẹ́lẹ̀, aso ìlúwẹ́ẹ̀, aso ìwẹ̀, aṣọ kékeré
🩳	aso ìlúwẹ́ẹ̀, aso ìwẹ̀, aṣọ pẹ́npé, sokoto pẹ́npé, àwọ̀ tẹ́lẹ̀
👙	Pata obinrin, aṣọ, wẹdò
👚	Awọn Aṣọ Obinrin, aṣọ, obìnrin
🪭	fanu, fáànì ọlọ́wọ́, gbona, jo, oju titi
👛	Pọọsi, aṣọ, kóbọ̀
👜	aṣọ, pọ́ọ̀sì, Ìpamọ́wọ́, àpamọ́wọ́
👝	Baagi Ipamọwọ, aṣọ, páùṣì, àpamọ́wọ́
🛍️	ilé ìtura, àpamọ́wọ́, àwọn àpamọ́wọ́ ọjà, ọjà
🎒	Baagi Ile-ẹkọ Agbekẹyin, ilé ìwé, sáṣẹ̀lì, àpamọ́wọ́
🩴	salubata tongi, salúbàtà, salúbàtà ibi omi, sorí
👞	Bata Ọkunrin, aṣọ, bàtà, ọkùnrin
👟	Bata Isare, aṣọ, bàtà, ẹní sáré
🥾	botì, bóòtì ìgokè, didi nnkan seyin, rinrin
🥿	bata kekere, bata pelebe, bàtà pẹlẹbẹ
👠	Bata Gogoro, aṣọ, bàtà, bàtà gogoro, obìnrin
👡	Bata Obinrin pẹlẹbẹ, aṣọ, bàtà, bátá pẹlẹbẹ, obìnrin
🩰	bata ijo, bàtà ijó, ijo, jó
👢	Buutu Obinrin, aṣọ, bàtà, búùtù, obìnrin
🪮	irun, mú, ìyarun, ẹ̀sọ́ irun
👑	Ade, aṣọ, olorì, ọba
👒	Haati Obinrin, aṣọ, fìlà, obìnrin
🎩	Haati Oke, aṣọ, fìlà, òkè
🎓️	Fila Aṣeyọri, ayẹyẹ, aṣọ, fìlà, àṣeyọrí
🧢	fìla billed, fìla bọ́ọ̀lùòkè
🪖	jagunjagun, soja, ámì, ìbòrí ológun
⛑️	koto, koto òṣìṣẹ́ ìrànwọ́, ojú, ìrànwọ́ àgbélébù
📿	Ilẹkẹ Adura, aṣọ, ilẹ̀kẹ̀, àdúrà, ẹ̀gbà ọrùn, ẹ̀sìn
💄	Ikun-ete, aṣaralaṣọ̀, aṣaralóge
💍	Dún, díámọ́ndì
💎	Okuta Iyebiye, díámọ́ndì, òkúta iyebíye, ẹ̀gbà
🔇	Gbohungbohun ti ko Sọrọ, dákè, dáké, gboùngboùn
🔈️	Gbohungbohun ti Ohun rẹ wa Labẹ, fẹ́lẹ́
🔉	Gbohungbohun ti Ohun rẹ wa Laarin, àárín
🔊	Gbohungbohun ti Ohun rẹ lọSoke, pariwo
📢	Gbohùngbohùn, pariwo, ìfitóniléti ìta gbangban
📣	ìbáraniyò̩, ẹ̀rọ gbohùngbohùn ńlá
📯	gbohùngbohùn, gbohùngbohùn ifiranṣẹ, ìfiránṣé̩
🔔	agago
🔕	agogo, agogo pẹlu idinku, bẹ́ẹ̀ kó̩, kò, àìlesọ̀rọ̀, èèwọ̀, ṣèdíwó̩
🎼	akọsilẹ orin, akọsílẹ̀, orin
🎵	orin, ò̩rọ̀, ọ̀rọ̀ orin
🎶	nóòtì orin, orin, àwọn ò̩rò̩, ọ̀rọ̀
🎙️	ilé-agódo, maikurofóònù, maikurofóònù sítúdíò, maikì, orin
🎚️	ipele, orin, yíyò̩, ìpele yíyò̩
🎛️	kókó, kókó ibìdárí, olùdarí, orin
🎤	maikurofóònù, ẹ̀rọ gbohùngbohùn kékeré
🎧️	ìrintí, ẹ̀rọ àdágbórinsétí
📻️	fídíò, rédíò
🎷	ipè, irinṣẹ́, orin, sáàsì
🪗	akodíà, fún, kosatinà
🎸	irinṣẹ́, jìtá, orin
🎹	duuru orin, dùrù, ohun èlò, orin
🎺	irinṣẹ́, kakaaki, orin
🎻	faolini, irinṣẹ́, orin
🪕	banjo, bánjò, lọ́pọ̀, orin
🥁	igi ìlù, orin, Ìlù
🪘	didún, ilu gigun, kóngà, ìlù, ìlù gigun
🪇	gbọ̀n, jin, marakasi, orin, èlò
🪈	agbohunsile, fere, fèrè, orin
🪉	háàpù, ohun èlò, orin, ìfẹ́, òrìṣà ìfẹ́, ẹgbẹ́ akọrin
📱	alágbèéká, fóònù, fóònù alágbèéká, tẹlifóònù
📲	alágbèéká, fóònù, fóònù alágbèéká pẹ̀lú ofà, gbà, tẹlifóònù, ìpè, ọfà
☎️	tẹlifóònù, ẹ̀rọ ìbánisọ̀rọ̀
📞	fóònù, olùgbà, olùgbà fóònù, tẹlifóònù
📟️	ẹ̀rọ atanilólobó
📠	fákìsì, ẹ̀rọ fákìsì
🔋	bátìrì
🪫	agbara kekere, batiri kekere, batírì kékeré, onina
🔌	pulọgi onina, púlọ́ọ̀gì, ìná mọ̀nà-mọ́ná, ẹ̀lé̩tíríìkì
💻️	kọ̀npútà, kọ̀npútà aládàni, kọ̀ǹpútà àgbélétan, àdáni
🖥️	a-gbé-lórí-tábílì, kọ̀npútà, kọ̀npútà a-gbé-lórí-tábílì
🖨️	kọ̀npútà, pínríntà
⌨️	kííbọọ̀dù, kọ̀npútà
🖱️	kọ̀npútà, máòsì kọ̀npútà
🖲️	kọ̀npútà, òntè̩ afinimọ̀nà
💽	dísìkì kọ̀ǹpútà, kọ̀npútà, ojú àwo, àwo, àwo pélébé
💾	dísìkì fílọ̀pì, fíló̩pì, kọ̀npútà, àwo
💿️	kọ̀npútà, ojú àwo, àwo, àwo aká-ọ̀rọ̀ aláfojúrí, àwo ìgbàlódé
📀	búlúù-réè, dvd, dísìkì, kọ̀npútà, ojú àwo
🧮	abakusi, abakuọ́sì, isirò
🎥	fíìmù, kamẹra fíìmù, kámé̩rà, sinimá
🎞️	fíìmù, sinemá, àwọn férémù, àwọn férémù fíìmù
📽️	fídíò, fíìmù, pìròjẹ́kítọ̀, sínímà, è̩rọ agbéwòrán jáde
🎬️	fíìmù, kílápà, pataki alapade
📺️	fídíò, àmóhùnmáwòrán
📷️	fídíò, kámẹ́rà
📸	fídíò, fílásì, kámẹ́rà, kámẹ́rà pẹlu filaṣi
📹️	ayàwòrán fídíò, fídíò, kámé̩rà
📼	awọn kaadi ododo iṣere, fídíò, téèpù
🔍	díígí, gilasi itọka-osi amohun tobi, irinṣẹ́, ìfojúsóde, ìsọdinlá
🔎	díígí, gilasi itọka-ọtun amohun tobi, irinṣẹ́, ìfojúsóde, ìsọdinlá
🕯️	iná, kándúùlù
💡	bó̩ọ̀bù, gólòbù iná, iná, kọ́míìkì, òye, ẹ̀lẹ́tíríìkì
🔦	iná, iná fílásì, iná mọ̀nà-mó̩ná, irjṣé̩, tọ́ọ́ṣì
🏮	atupa iwe pupa, iná, pupa, àtùpà, ìdènà
🪔	díya, epo, àtùpà, àtùpà díya
📔	ilé-ìwé, ohun àfi ṣẹ̀ṣọ́, àfikọ̀wé pẹ̀lú ẹ̀yìn ọlọ́ọ̀ṣó, ìwé, ìwé àkọsílè̩, ìṣelẹ́ṣọ̀ó̩, ẹ̀kọ́, ẹ̀yìn ìwé
📕	iwe ti pade, pípadé, ìwé, ìwé tó padé
📖	iwe ṣi silẹ, ìwé, ṣíṣí
📗	iwe alawọ ewe, àwò̩ ewé, ìwé
📘	bulu, iwe alawọ, iwe alawọ bulu
📙	aláwò̩ ọsàn, iwe alawọ ọsan, ìwé
📚️	àwọn ìwé, ìwé
📓	àfikọ̀wé
📒	lé̩jà, àfikọ̀wé
📃	oju-iwe pẹlu lilọ, ojú ìwé, ìló̩pọ̀, ìwé ìpamó̩
📜	gbéjáde, pépà
📄	dọ́kúmé̩ẹ̀tì, oju-iwe wa loke, ojú ìwé
📰	pépà, ìròyìn, ìwé ìròyìn
🗞	pépà, àkápọ̀, ìròyìn, ìwé ìròyìn, ìwé ìròyìn aláyípọ̀
📑	ohun èlò ìfàmìsí, táàbù, àmì, àmì ìwé àwọn táàbù, ìfàmìsí
🔖	àmì, àmì ìwé
🏷️	àkọ́lé
💰️	apo owo, dó̩là, owó, àpò
🪙	irin, isura, koínì, kóini, owo
💴	ilé-ìfowópamó̩, owo yen, owó, owó bánkì, yẹn, ìwó iye owó
💵	dọ́là, ilé-ìfowópamó, owo dọla, owó, owó bánkì, ìwó iye owó
💶	ilé-ìfowópamó̩, owo uro, owó, owó bánkì, ìwó iye owó, úrò
💷	ilé-ìfowópamó̩, owo pọun, owó, owó bánkì, pó̩ùn, ìwó iye owó
💸	dó̩là, fò, ilé-ìfowópamó̩, owo pẹlu awọn iyẹ, owó, owó bánkì, ìwó iye owó
💳️	ilé ìfowópamó̩, káàdì, káàdì ìsọdowó, owó, ààwìn
🧾	erí, ìdájú, ìwé owó
💹	ilà atọ́ka àwòrán, ilé ìfowópamọ́n, owó, yen, àtẹ, àtẹ n pọsi pẹlu yẹn, ìdàgbàsókè, ìdìde, ìgbàlódé, ìlọsókè, ọjà
✉️	lé̩tà, àpò ìwé, í-meèlì
📧	lẹ́tà, meèlì, í-meèlì
📨	apo iwe ti o nbọ, lẹ́tá, meèlì, àpò ìwé, ìgbàwọlé, ìwọlé, í-meèlì
📩	apo iwe pelu ọfa, lẹ́tà, meèlì, àpò ìwé, ìfiránṣé̩, ìjáde, ìsàlẹ̀, í-meèlì, ọfà
📤️	lẹ́tá, meèlì, tire àpótí ìgbọ́rọ̀jáde, àpótì, àpótí ìgbọ́rọ̀jáde, àtẹ, ìfiránṣẹ́
📥️	lẹ́tá, meèlì, tire àpótí àgbàwọ́lé, àpótì, àpótí ìgbọ́rọ̀jáde, àtẹ, ìgbàwọlé
📦️	àpótí, ṣí àkójọpọ̀, ẹgbìnrìn
📫️	meèlì, pípadé, àpótí meèlì, àpótí ìfigba ìwé ránṣẹ́, àpótíméèlì ti a tipa pẹlu asia nina soke
📪️	meèlì, pípadé, wálẹ̀, àpótí meèlì, àpótí ìfigba ìwé ránṣẹ́, àpótíméèlì ti a tipa pẹlu asia nina walẹ
📬️	meèlì, sí, àpótí meèlì, àpótí ìfigba ìwé ránṣẹ́, àpótíméèlì ti a ṣi pẹlu asia nina soke
📭️	meèlì, sí, wálẹ̀, àpótí meèlì, àpótí ìfigba ìwé ránṣẹ́, àpótíméèlì ti a ṣi pẹlu asia nina wale
📮	apoti ifigba iwe iranṣẹ, meèlì, àpótí meèlì
🗳️	àpótí, àpótí ìdìbò pẹ̀lú ìwé ìdìbò, ìwé ìdìbò
✏️	pẹ́nsùlù
✒️	gègé, góngó, góngó dúdú
🖋️	gègé, gègé orísun, orísun
🖊️	gègé, gègé pẹlu rogodo
🖌️	búró̩sì ìkùndà, ọ̀dà
🖍️	kereyọ́nù
📝	mẹ́mò, pẹ́nsùlù
💼	àpamọ́wọ́
📁	fáìlì, fódà, fódà fáìlì
📂	fáìlì, fódà, fódà fáìlì ti o ṣi, ṣí
🗂️	káàdì, ohun èlò ìpínyà, ohun èlò ìpínyà àtòjọ atọ́ka-ọ̀rọ̀ káàdì, àtòjọ atọ́ka-ọ̀rọ̀
📅	déètì, kàlẹ́ndà
📆	kàlẹ́ndà, kàlẹ́ndà ti a ya
🗒️	nóòtì, nóòtì páàdì alákápò̩, páàdì, àkápọ̀
🗓️	kàlẹ́ndà, kàlẹ́ndà alákápọ̀, páàdì, àkápọ̀
📇	fáìlì oní káàdì, káàdì, káàdì àtòjọ atọ́kà-ọ̀rọ̀, àtòjọ atọ́ka-ọ̀rọ̀
📈	ilà ató̩ka àwòrán, àtẹ, àtẹ n pọsi, ìdàgbàsókè, ìlọsókè, ìlọṣíwájú
📉	tírẹ́ndì, àtẹ, àtẹ alátó̩ka, àtẹ n dinku, ìsàlẹ̀
📊	pẹpẹ ìwe àwòrán àfihàn, àtẹ, àtẹ alátọ́ka, àtẹ onígun
📋️	aka ọlọ́pọ̀n
📌	abẹ́rẹ́, abẹ́rẹ́ohunyíyà
📍	abẹ́rẹ́, abẹ́rẹ́ohunyíyà roboto, píìnì àgbáwọlé
📎	àfimúwèépọ̀
🖇️	àfimúwèépò̩, àsopọ̀ ìfimúwèépọ̀, ìsopọ̀
📏	etí gbọọrọ, rula gbọọrọ, rúlà
📐	onígun-mé̩ta, rula onigun mẹta, rúlà, sẹ́ẹ́tì
✂️	gígé, irinṣé̩, sísọ́ọ̀sì
🗃️	fáìlì, káàdì, àpótí, àpótí káàdì fún fáìlì
🗄️	fáàlì, àpótí, àpótí fáàlì, ìforúkọ fáàlì sílẹ̀
🗑️	apẹ̀rẹ̀ ìdalè̩sí
🔒️	pípadé, ti tìí
🔓️	ti síi, tì, ṣí, ṣíṣí
🔏	góngó, padé, pẹ́ẹ̀nì, ti tìí pẹlu pẹni, ìkọ̀kọ̀, ínkì
🔐	kó̩kọ́ró̩, pípadé, ti tìí pẹlu kọkọrọ, títì, ààbò
🔑	kọ́kọ́rọ́, pásìwọdù, tì
🗝️	kó̩kọ́ró̩ àtijó̩, kọ́kọ́ró̩, olobó, títì, àtijó̩
🔨	irinsẹ́, oòlù
🪓	ake, igi, pin, àáké
⛏️	irinṣé̩, sà, ìwakusà
⚒️	òòlù, òòlù àti ìsà
🛠️	irinṣẹ́, irinṣẹ́ afagbára dè, sípánà, òòlù, òòlù àti irinṣẹ́ afagbára dè
🗡️	dágà, irinṣẹ́ ìjagun, ò̩bẹ
⚔️	idà, idà alágbèélèbú, irinṣẹ́ ìjagun, àgbélèbú
💣️	Bọmbu, àwàdà
🪃	atubotan, ipadawa, ositerila
🏹	Sagittarius, irinṣé̩, irinṣẹ́ ìjagun, tafàtafà, àmi oṣù ìbí, ọfà, ọfà títa, ọkọ ati ọfa
🛡️	irinṣẹ́ ìjagun, ohun èlò àbò
🪚	sọ́ọ̀, sọ́ọ̀ káfíntà
🔧	irinṣẹ́, irinṣẹ́ afagbára dè, oolu, sípánà
🪛	elo, elo ìtú ìdè, ìdè
🔩	bóòtù, irinṣé̩, nó̩ọ̀tì, nọti ati botu
⚙️	gíà, irinsẹ́
🗜️	gbámú, irinṣẹ́, ohun èlò irinṣẹ́, ìfúnpọ̀
⚖️	líbérà, síkélì, àmi oṣù ìbí, ìdájọ́, ìwọ̀n, ìwọ̀ntúnwọ̀nsí, ìwọ̀ntúnwọ̀nsí síkélì
🦯	aye ona, egba funfun, fọ́jú
🔗	ìtọ́kasí
⛓‍💥	já, àwọn ìdè ọwọ́ tàbí ẹsẹ̀, ìdè, ìdè tó ti já, òmìnira, ń já
⛓️	àwọn ṣe̩kẹ́ṣẹkẹ̀, ṣe̩kẹ́ṣẹkẹ̀
🪝	ako, ibi títà, mu, yi
🧰	elo, mekáníkì, nńkan èlo, àya
🧲	bata ẹsin, fífàmọ́ra, lílẹ̀ mọ́
🪜	gùn, igbésẹ̀, àkàbà
🪏	bù, gbẹ́, ihò, ṣọ̀bìrì, ṣọ̀bìrì ìgbẹ́lẹ̀, ṣọ́bìrì
⚗️	irinṣé̩, kẹ́mísìrì, àlẹ́mbìk
🧪	ayewo, kemisir]i, lábù, sayensi, tubu ayewo
🧫	aarun, asa, bioloji, ounje
🧬	baolojì, d, dínà, emi, inà, jíni
🔬	irinṣẹ́, maikirosikopu, sáyé̩nsì
🔭	irinṣẹ́, sáyé̩nsì, tẹlisikopu
📡	eria satalaiti, àtagbà, àwo, ẹ̀rọ alátagbà nlá
💉	abẹrẹ, dókítà, ikin, irinṣẹ́, yìn, àìsàn, òògùn
🩸	eje, eje fifun, ita ẹ̀jẹ̀, nnkan osù, ogun
💊	dókítà, pili, àìsàn, òògùn
🩹	bándeèjì, bándéèjì, bándéèjì lílẹ̀mọ́
🩼	aro, egba, igi, igi ifirin, nnkan ifirin
🩺	o]ogùn, okan, onisegun, sitesitosikoop]u, sítẹ́sítósikóòpù
