‾	ขีดบน
👩🏾‍🦼‍➡	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ไฟฟ้า หันขวา, รถเข็น, วีลแชร์ไฟฟ้า, เข้าถึง
👩🏿‍🦼‍➡	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ไฟฟ้า หันขวา, รถเข็น, วีลแชร์ไฟฟ้า, เข้าถึง
🧑‍🦽	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, วีลแชร์
🧑🏻‍🦽	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา: โทนผิวสีขาว, วีลแชร์, โทนผิวสีขาว
🧑🏼‍🦽	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา: โทนผิวสีขาวเหลือง, วีลแชร์, โทนผิวสีขาวเหลือง
🧑🏽‍🦽	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา: โทนผิวสีเหลือง, วีลแชร์, โทนผิวสีเหลือง
🧑🏾‍🦽	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา: โทนผิวสีแทน, วีลแชร์, โทนผิวสีแทน
🧑🏿‍🦽	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา: โทนผิวสีเข้ม, วีลแชร์, โทนผิวสีเข้ม
🧑‍🦽‍➡	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา หันขวา, วีลแชร์
🧑🏻‍🦽‍➡	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา หันขวา, วีลแชร์
🧑🏼‍🦽‍➡	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา หันขวา, วีลแชร์
🧑🏽‍🦽‍➡	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา หันขวา, วีลแชร์
🧑🏾‍🦽‍➡	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา หันขวา, วีลแชร์
🧑🏿‍🦽‍➡	การช่วยเหลือพิเศษ, การเข้าถึง, คนนั่งวีลแชร์ธรรมดา, คนนั่งวีลแชร์ธรรมดา หันขวา, วีลแชร์
👨‍🦽	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👨🏻‍🦽	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา: โทนผิวสีขาว, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีขาว
👨🏼‍🦽	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา: โทนผิวสีขาวเหลือง, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีขาวเหลือง
👨🏽‍🦽	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา: โทนผิวสีเหลือง, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีเหลือง
👨🏾‍🦽	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา: โทนผิวสีแทน, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีแทน
👨🏿‍🦽	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา: โทนผิวสีเข้ม, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีเข้ม
👨‍🦽‍➡	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา หันขวา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👨🏻‍🦽‍➡	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา หันขวา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👨🏼‍🦽‍➡	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา หันขวา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👨🏽‍🦽‍➡	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา หันขวา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👨🏾‍🦽‍➡	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา หันขวา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👨🏿‍🦽‍➡	คน, ผู้ชาย, ผู้ชายนั่งวีลแชร์ธรรมดา หันขวา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👩‍🦽	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ธรรมดา, รถเข็น, วีลแชร์, เข้าถึง, แมนวล
👩🏻‍🦽	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ธรรมดา: โทนผิวสีขาว, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีขาว
👩🏼‍🦽	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ธรรมดา: โทนผิวสีขาวเหลือง, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีขาวเหลือง
👩🏽‍🦽	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ธรรมดา: โทนผิวสีเหลือง, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีเหลือง
👩🏾‍🦽	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ธรรมดา: โทนผิวสีแทน, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีแทน
👩🏿‍🦽	คน, ผู้หญิง, ผู้หญิงนั่งวีลแชร์ธรรมดา: โทนผิวสีเข้ม, รถเข็น, วีลแชร์, เข้าถึง, แมนวล, โทนผิวสีเข้ม
