‾	överstreck
🙅🏻‍♀	förbjudet, gest, kvinna, kvinna gestikulerar NEJ, kvinna gestikulerar NEJ: ljus hy, ljus hy
🙅🏼‍♀	förbjudet, gest, kvinna, kvinna gestikulerar NEJ, kvinna gestikulerar NEJ: mellanljus hy, mellanljus hy
🙅🏽‍♀	förbjudet, gest, kvinna, kvinna gestikulerar NEJ, kvinna gestikulerar NEJ: mellanfärgad hy, mellanfärgad hy
🙅🏾‍♀	förbjudet, gest, kvinna, kvinna gestikulerar NEJ, kvinna gestikulerar NEJ: mellanmörk hy, mellanmörk hy
🙅🏿‍♀	förbjudet, gest, kvinna, kvinna gestikulerar NEJ, kvinna gestikulerar NEJ: mörk hy, mörk hy
🙆	gest, gest för OK, hand, kvinna som gestikulerar OK, okej, person gestikulerar OK
🙆🏻	gest, gest för OK, hand, kvinna som gestikulerar OK, ljus hy, okej, person gestikulerar OK, person gestikulerar OK: ljus hy
🙆🏼	gest, gest för OK, hand, kvinna som gestikulerar OK, mellanljus hy, okej, person gestikulerar OK, person gestikulerar OK: mellanljus hy
🙆🏽	gest, gest för OK, hand, kvinna som gestikulerar OK, mellanfärgad hy, okej, person gestikulerar OK, person gestikulerar OK: mellanfärgad hy
🙆🏾	gest, gest för OK, hand, kvinna som gestikulerar OK, mellanmörk hy, okej, person gestikulerar OK, person gestikulerar OK: mellanmörk hy
🙆🏿	gest, gest för OK, hand, kvinna som gestikulerar OK, mörk hy, okej, person gestikulerar OK, person gestikulerar OK: mörk hy
🙆‍♂	gest, gest för OK, hand, man gestikulerar OK, okej
🙆🏻‍♂	gest, gest för OK, hand, ljus hy, man gestikulerar OK, man gestikulerar OK: ljus hy, okej
🙆🏼‍♂	gest, gest för OK, hand, man gestikulerar OK, man gestikulerar OK: mellanljus hy, mellanljus hy, okej
🙆🏽‍♂	gest, gest för OK, hand, man gestikulerar OK, man gestikulerar OK: mellanfärgad hy, mellanfärgad hy, okej
🙆🏾‍♂	gest, gest för OK, hand, man gestikulerar OK, man gestikulerar OK: mellanmörk hy, mellanmörk hy, okej
🙆🏿‍♂	gest, gest för OK, hand, man gestikulerar OK, man gestikulerar OK: mörk hy, mörk hy, okej
🙆‍♀	gest, gest för OK, hand, kvinna gestikulerar OK, okej
🙆🏻‍♀	gest, gest för OK, hand, kvinna gestikulerar OK, kvinna gestikulerar OK: ljus hy, ljus hy, okej
🙆🏼‍♀	gest, gest för OK, hand, kvinna gestikulerar OK, kvinna gestikulerar OK: mellanljus hy, mellanljus hy, okej
🙆🏽‍♀	gest, gest för OK, hand, kvinna gestikulerar OK, kvinna gestikulerar OK: mellanfärgad hy, mellanfärgad hy, okej
🙆🏾‍♀	gest, gest för OK, hand, kvinna gestikulerar OK, kvinna gestikulerar OK: mellanmörk hy, mellanmörk hy, okej
🙆🏿‍♀	gest, gest för OK, hand, kvinna gestikulerar OK, kvinna gestikulerar OK: mörk hy, mörk hy, okej
💁	hand, information, kvinna som vinkar med handen, människor, reception, receptionist, sarkastisk, skvaller
💁🏻	hand, information, kvinna som vinkar med handen, ljus hy, människor, reception, receptionist, receptionist: ljus hy, sarkastisk, skvaller
💁🏼	hand, information, kvinna som vinkar med handen, mellanljus hy, människor, reception, receptionist, receptionist: mellanljus hy, sarkastisk, skvaller
💁🏽	hand, information, kvinna som vinkar med handen, mellanfärgad hy, människor, reception, receptionist, receptionist: mellanfärgad hy, sarkastisk, skvaller
💁🏾	hand, information, kvinna som vinkar med handen, mellanmörk hy, människor, reception, receptionist, receptionist: mellanmörk hy, sarkastisk, skvaller
💁🏿	hand, information, kvinna som vinkar med handen, människor, mörk hy, reception, receptionist, receptionist: mörk hy, sarkastisk, skvaller
💁‍♂	hjälpa, hjälpande man, information, man, man som vinkar
💁🏻‍♂	hjälpa, hjälpande man, hjälpande man: ljus hy, information, ljus hy, man, man som vinkar
💁🏼‍♂	hjälpa, hjälpande man, hjälpande man: mellanljus hy, information, man, man som vinkar, mellanljus hy
💁🏽‍♂	hjälpa, hjälpande man, hjälpande man: mellanfärgad hy, information, man, man som vinkar, mellanfärgad hy
💁🏾‍♂	hjälpa, hjälpande man, hjälpande man: mellanmörk hy, information, man, man som vinkar, mellanmörk hy
💁🏿‍♂	hjälpa, hjälpande man, hjälpande man: mörk hy, information, man, man som vinkar, mörk hy
💁‍♀	hjälpa, hjälpande kvinna, information, kvinna
💁🏻‍♀	hjälpa, hjälpande kvinna, hjälpande kvinna: ljus hy, information, kvinna, ljus hy
💁🏼‍♀	hjälpa, hjälpande kvinna, hjälpande kvinna: mellanljus hy, information, kvinna, mellanljus hy
💁🏽‍♀	hjälpa, hjälpande kvinna, hjälpande kvinna: mellanfärgad hy, information, kvinna, mellanfärgad hy
💁🏾‍♀	hjälpa, hjälpande kvinna, hjälpande kvinna: mellanmörk hy, information, kvinna, mellanmörk hy
💁🏿‍♀	hjälpa, hjälpande kvinna, hjälpande kvinna: mörk hy, information, kvinna, mörk hy
🙋	fråga, jag vet, kvinna som räcker upp handen, person, person som räcker upp handen, räcker upp handen
🙋🏻	fråga, jag vet, kvinna som räcker upp handen, ljus hy, person, person som räcker upp handen, person som räcker upp handen: ljus hy, räcker upp handen
🙋🏼	fråga, jag vet, kvinna som räcker upp handen, mellanljus hy, person, person som räcker upp handen, person som räcker upp handen: mellanljus hy, räcker upp handen
🙋🏽	fråga, jag vet, kvinna som räcker upp handen, mellanfärgad hy, person, person som räcker upp handen, person som räcker upp handen: mellanfärgad hy, räcker upp handen
🙋🏾	fråga, jag vet, kvinna som räcker upp handen, mellanmörk hy, person, person som räcker upp handen, person som räcker upp handen: mellanmörk hy, räcker upp handen
🙋🏿	fråga, jag vet, kvinna som räcker upp handen, mörk hy, person, person som räcker upp handen, person som räcker upp handen: mörk hy, räcker upp handen
🙋‍♂	man, man som räcker upp handen, räcka upp handen
🙋🏻‍♂	ljus hy, man, man som räcker upp handen, man som räcker upp handen: ljus hy, räcka upp handen
🙋🏼‍♂	man, man som räcker upp handen, man som räcker upp handen: mellanljus hy, mellanljus hy, räcka upp handen
🙋🏽‍♂	man, man som räcker upp handen, man som räcker upp handen: mellanfärgad hy, mellanfärgad hy, räcka upp handen
🙋🏾‍♂	man, man som räcker upp handen, man som räcker upp handen: mellanmörk hy, mellanmörk hy, räcka upp handen
🙋🏿‍♂	man, man som räcker upp handen, man som räcker upp handen: mörk hy, mörk hy, räcka upp handen
🙋‍♀	kvinna, kvinna som räcker upp handen, räcka upp handen
🙋🏻‍♀	kvinna, kvinna som räcker upp handen, kvinna som räcker upp handen: ljus hy, ljus hy, räcka upp handen
🙋🏼‍♀	kvinna, kvinna som räcker upp handen, kvinna som räcker upp handen: mellanljus hy, mellanljus hy, räcka upp handen
🙋🏽‍♀	kvinna, kvinna som räcker upp handen, kvinna som räcker upp handen: mellanfärgad hy, mellanfärgad hy, räcka upp handen
🙋🏾‍♀	kvinna, kvinna som räcker upp handen, kvinna som räcker upp handen: mellanmörk hy, mellanmörk hy, räcka upp handen
🙋🏿‍♀	kvinna, kvinna som räcker upp handen, kvinna som räcker upp handen: mörk hy, mörk hy, räcka upp handen
🧏	döv, hörsel, hörselskadad person, tillgänglighet, öra
🧏🏻	döv, hörsel, hörselskadad person, hörselskadad person: ljus hy, ljus hy, tillgänglighet, öra
🧏🏼	döv, hörsel, hörselskadad person, hörselskadad person: mellanljus hy, mellanljus hy, tillgänglighet, öra
🧏🏽	döv, hörsel, hörselskadad person, hörselskadad person: mellanfärgad hy, mellanfärgad hy, tillgänglighet, öra
🧏🏾	döv, hörsel, hörselskadad person, hörselskadad person: mellanmörk hy, mellanmörk hy, tillgänglighet, öra
🧏🏿	döv, hörsel, hörselskadad person, hörselskadad person: mörk hy, mörk hy, tillgänglighet, öra
🧏‍♂	hörselskadad, hörselskadad man, man
🧏🏻‍♂	hörselskadad, hörselskadad man: ljus hy, ljus hy, man
🧏🏼‍♂	hörselskadad, hörselskadad man: mellanljus hy, man, mellanljus hy
🧏🏽‍♂	hörselskadad, hörselskadad man: mellanfärgad hy, man, mellanfärgad hy
🧏🏾‍♂	hörselskadad, hörselskadad man: mellanmörk hy, man, mellanmörk hy
🧏🏿‍♂	hörselskadad, hörselskadad man: mörk hy, man, mörk hy
🧏‍♀	hörselskada kvinna, hörselskadad, kvinna
🧏🏻‍♀	hörselskada kvinna, hörselskada kvinna: ljus hy, hörselskadad, kvinna, ljus hy
🧏🏼‍♀	hörselskada kvinna, hörselskada kvinna: mellanljus hy, hörselskadad, kvinna, mellanljus hy
🧏🏽‍♀	hörselskada kvinna, hörselskada kvinna: mellanfärgad hy, hörselskadad, kvinna, mellanfärgad hy
🧏🏾‍♀	hörselskada kvinna, hörselskada kvinna: mellanmörk hy, hörselskadad, kvinna, mellanmörk hy
🧏🏿‍♀	hörselskada kvinna, hörselskada kvinna: mörk hy, hörselskadad, kvinna, mörk hy
🙇	beklagar, buga, bugande person, bugar, gest, meditation, meditera, ursäkt
🙇🏻	beklagar, buga, bugande person, bugande person: ljus hy, bugar, gest, ljus hy, meditation, meditera, ursäkt
🙇🏼	beklagar, buga, bugande person, bugande person: mellanljus hy, bugar, gest, meditation, meditera, mellanljus hy, ursäkt
🙇🏽	beklagar, buga, bugande person, bugande person: mellanfärgad hy, bugar, gest, meditation, meditera, mellanfärgad hy, ursäkt
🙇🏾	beklagar, buga, bugande person, bugande person: mellanmörk hy, bugar, gest, meditation, meditera, mellanmörk hy, ursäkt
🙇🏿	beklagar, buga, bugande person, bugande person: mörk hy, bugar, gest, meditation, meditera, mörk hy, ursäkt
🙇‍♂	beklagelse, buga, bugande man, man, ursäkt
🙇🏻‍♂	beklagelse, buga, bugande man, bugande man: ljus hy, ljus hy, man, ursäkt
🙇🏼‍♂	beklagelse, buga, bugande man, bugande man: mellanljus hy, man, mellanljus hy, ursäkt
🙇🏽‍♂	beklagelse, buga, bugande man, bugande man: mellanfärgad hy, man, mellanfärgad hy, ursäkt
🙇🏾‍♂	beklagelse, buga, bugande man, bugande man: mellanmörk hy, man, mellanmörk hy, ursäkt
🙇🏿‍♂	beklagelse, buga, bugande man, bugande man: mörk hy, man, mörk hy, ursäkt
🙇‍♀	beklagelse, buga, bugande kvinna, kvinna, ursäkt
🙇🏻‍♀	beklagelse, buga, bugande kvinna, bugande kvinna: ljus hy, kvinna, ljus hy, ursäkt
🙇🏼‍♀	beklagelse, buga, bugande kvinna, bugande kvinna: mellanljus hy, kvinna, mellanljus hy, ursäkt
🙇🏽‍♀	beklagelse, buga, bugande kvinna, bugande kvinna: mellanfärgad hy, kvinna, mellanfärgad hy, ursäkt
🙇🏾‍♀	beklagelse, buga, bugande kvinna, bugande kvinna: mellanmörk hy, kvinna, mellanmörk hy, ursäkt
🙇🏿‍♀	beklagelse, buga, bugande kvinna, bugande kvinna: mörk hy, kvinna, mörk hy, ursäkt
🤦	ansikte, frustration, handflata, irritation, person som slår sig för pannan, slå sig för pannan
🤦🏻	ansikte, frustration, handflata, irritation, ljus hy, person som slår sig för pannan, person som slår sig för pannan: ljus hy, slå sig för pannan
🤦🏼	ansikte, frustration, handflata, irritation, mellanljus hy, person som slår sig för pannan, person som slår sig för pannan: mellanljus hy, slå sig för pannan
🤦🏽	ansikte, frustration, handflata, irritation, mellanfärgad hy, person som slår sig för pannan, person som slår sig för pannan: mellanfärgad hy, slå sig för pannan
🤦🏾	ansikte, frustration, handflata, irritation, mellanmörk hy, person som slår sig för pannan, person som slår sig för pannan: mellanmörk hy, slå sig för pannan
🤦🏿	ansikte, frustration, handflata, irritation, mörk hy, person som slår sig för pannan, person som slår sig för pannan: mörk hy, slå sig för pannan
🤦‍♂	facepalm, frustration, irritation, man, man som slår sig för pannan
🤦🏻‍♂	facepalm, frustration, irritation, ljus hy, man, man som slår sig för pannan, man som slår sig för pannan: ljus hy
🤦🏼‍♂	facepalm, frustration, irritation, man, man som slår sig för pannan, man som slår sig för pannan: mellanljus hy, mellanljus hy
🤦🏽‍♂	facepalm, frustration, irritation, man, man som slår sig för pannan, man som slår sig för pannan: mellanfärgad hy, mellanfärgad hy
🤦🏾‍♂	facepalm, frustration, irritation, man, man som slår sig för pannan, man som slår sig för pannan: mellanmörk hy, mellanmörk hy
🤦🏿‍♂	facepalm, frustration, irritation, man, man som slår sig för pannan, man som slår sig för pannan: mörk hy, mörk hy
🤦‍♀	facepalm, frustration, irritation, kvinna, kvinna som slår sig för pannan
🤦🏻‍♀	facepalm, frustration, irritation, kvinna, kvinna som slår sig för pannan, kvinna som slår sig för pannan: ljus hy, ljus hy
🤦🏼‍♀	facepalm, frustration, irritation, kvinna, kvinna som slår sig för pannan, kvinna som slår sig för pannan: mellanljus hy, mellanljus hy
🤦🏽‍♀	facepalm, frustration, irritation, kvinna, kvinna som slår sig för pannan, kvinna som slår sig för pannan: mellanfärgad hy, mellanfärgad hy
🤦🏾‍♀	facepalm, frustration, irritation, kvinna, kvinna som slår sig för pannan, kvinna som slår sig för pannan: mellanmörk hy, mellanmörk hy
🤦🏿‍♀	facepalm, frustration, irritation, kvinna, kvinna som slår sig för pannan, kvinna som slår sig för pannan: mörk hy, mörk hy
🤷	axelryckning, likgiltighet, okunskap, person som rycker på axlarna, tvivel
🤷🏻	axelryckning, likgiltighet, ljus hy, okunskap, person som rycker på axlarna, person som rycker på axlarna: ljus hy, tvivel
🤷🏼	axelryckning, likgiltighet, mellanljus hy, okunskap, person som rycker på axlarna, person som rycker på axlarna: mellanljus hy, tvivel
🤷🏽	axelryckning, likgiltighet, mellanfärgad hy, okunskap, person som rycker på axlarna, person som rycker på axlarna: mellanfärgad hy, tvivel
🤷🏾	axelryckning, likgiltighet, mellanmörk hy, okunskap, person som rycker på axlarna, person som rycker på axlarna: mellanmörk hy, tvivel
🤷🏿	axelryckning, likgiltighet, mörk hy, okunskap, person som rycker på axlarna, person som rycker på axlarna: mörk hy, tvivel
🤷‍♂	axelryckning, likgiltighet, man, man som rycker på axlarna, okunskap, tvivel, vet inte
🤷🏻‍♂	axelryckning, likgiltighet, ljus hy, man, man som rycker på axlarna, man som rycker på axlarna: ljus hy, okunskap, tvivel, vet inte
🤷🏼‍♂	axelryckning, likgiltighet, man, man som rycker på axlarna, man som rycker på axlarna: mellanljus hy, mellanljus hy, okunskap, tvivel, vet inte
🤷🏽‍♂	axelryckning, likgiltighet, man, man som rycker på axlarna, man som rycker på axlarna: mellanfärgad hy, mellanfärgad hy, okunskap, tvivel, vet inte
🤷🏾‍♂	axelryckning, likgiltighet, man, man som rycker på axlarna, man som rycker på axlarna: mellanmörk hy, mellanmörk hy, okunskap, tvivel, vet inte
🤷🏿‍♂	axelryckning, likgiltighet, man, man som rycker på axlarna, man som rycker på axlarna: mörk hy, mörk hy, okunskap, tvivel, vet inte
🤷‍♀	axelryckning, kvinna, kvinna som rycker på axlarna, likgiltighet, okunskap, tvivel
🤷🏻‍♀	axelryckning, kvinna, kvinna som rycker på axlarna, kvinna som rycker på axlarna: ljus hy, likgiltighet, ljus hy, okunskap, tvivel
🤷🏼‍♀	axelryckning, kvinna, kvinna som rycker på axlarna, kvinna som rycker på axlarna: mellanljus hy, likgiltighet, mellanljus hy, okunskap, tvivel
🤷🏽‍♀	axelryckning, kvinna, kvinna som rycker på axlarna, kvinna som rycker på axlarna: mellanfärgad hy, likgiltighet, mellanfärgad hy, okunskap, tvivel
🤷🏾‍♀	axelryckning, kvinna, kvinna som rycker på axlarna, kvinna som rycker på axlarna: mellanmörk hy, likgiltighet, mellanmörk hy, okunskap, tvivel
🤷🏿‍♀	axelryckning, kvinna, kvinna som rycker på axlarna, kvinna som rycker på axlarna: mörk hy, likgiltighet, mörk hy, okunskap, tvivel
🧑‍⚕	läkare, sjuksköterska, sjukvård, terapeut, vårdpersonal
🧑🏻‍⚕	ljus hy, läkare, läkare: ljus hy, sjuksköterska, sjukvård, terapeut, vårdpersonal
🧑🏼‍⚕	läkare, läkare: mellanljus hy, mellanljus hy, sjuksköterska, sjukvård, terapeut, vårdpersonal
🧑🏽‍⚕	läkare, läkare: mellanfärgad hy, mellanfärgad hy, sjuksköterska, sjukvård, terapeut, vårdpersonal
🧑🏾‍⚕	läkare, läkare: mellanmörk hy, mellanmörk hy, sjuksköterska, sjukvård, terapeut, vårdpersonal
🧑🏿‍⚕	läkare, läkare: mörk hy, mörk hy, sjuksköterska, sjukvård, terapeut, vårdpersonal
👨‍⚕	doktor, hälsovård, läkare, man, manlig, manlig läkare, skötare
👨🏻‍⚕	doktor, hälsovård, ljus hy, läkare, man, manlig, manlig läkare: ljus hy, skötare
👨🏼‍⚕	doktor, hälsovård, läkare, man, manlig, manlig läkare: mellanljus hy, mellanljus hy, skötare
👨🏽‍⚕	doktor, hälsovård, läkare, man, manlig, manlig läkare: mellanfärgad hy, mellanfärgad hy, skötare
👨🏾‍⚕	doktor, hälsovård, läkare, man, manlig, manlig läkare: mellanmörk hy, mellanmörk hy, skötare
👨🏿‍⚕	doktor, hälsovård, läkare, man, manlig, manlig läkare: mörk hy, mörk hy, skötare
👩‍⚕	doktor, hälsovård, kvinna, kvinnlig, kvinnlig läkare, läkare, skötare
👩🏻‍⚕	doktor, hälsovård, kvinna, kvinnlig, kvinnlig läkare: ljus hy, ljus hy, läkare, skötare
👩🏼‍⚕	doktor, hälsovård, kvinna, kvinnlig, kvinnlig läkare: mellanljus hy, läkare, mellanljus hy, skötare
👩🏽‍⚕	doktor, hälsovård, kvinna, kvinnlig, kvinnlig läkare: mellanfärgad hy, läkare, mellanfärgad hy, skötare
👩🏾‍⚕	doktor, hälsovård, kvinna, kvinnlig, kvinnlig läkare: mellanmörk hy, läkare, mellanmörk hy, skötare
👩🏿‍⚕	doktor, hälsovård, kvinna, kvinnlig, kvinnlig läkare: mörk hy, läkare, mörk hy, skötare
🧑‍🎓	student, studerande
🧑🏻‍🎓	ljus hy, student, student: ljus hy, studerande
🧑🏼‍🎓	mellanljus hy, student, student: mellanljus hy, studerande
🧑🏽‍🎓	mellanfärgad hy, student, student: mellanfärgad hy, studerande
🧑🏾‍🎓	mellanmörk hy, student, student: mellanmörk hy, studerande
🧑🏿‍🎓	mörk hy, student, student: mörk hy, studerande
👨‍🎓	man, manlig, manlig student, student, studerande
👨🏻‍🎓	ljus hy, man, manlig, manlig student: ljus hy, student, studerande
👨🏼‍🎓	man, manlig, manlig student: mellanljus hy, mellanljus hy, student, studerande
👨🏽‍🎓	man, manlig, manlig student: mellanfärgad hy, mellanfärgad hy, student, studerande
👨🏾‍🎓	man, manlig, manlig student: mellanmörk hy, mellanmörk hy, student, studerande
👨🏿‍🎓	man, manlig, manlig student: mörk hy, mörk hy, student, studerande
👩‍🎓	kvinna, kvinnlig, kvinnlig student, student, studerande
👩🏻‍🎓	kvinna, kvinnlig, kvinnlig student: ljus hy, ljus hy, student, studerande
👩🏼‍🎓	kvinna, kvinnlig, kvinnlig student: mellanljus hy, mellanljus hy, student, studerande
👩🏽‍🎓	kvinna, kvinnlig, kvinnlig student: mellanfärgad hy, mellanfärgad hy, student, studerande
👩🏾‍🎓	kvinna, kvinnlig, kvinnlig student: mellanmörk hy, mellanmörk hy, student, studerande
👩🏿‍🎓	kvinna, kvinnlig, kvinnlig student: mörk hy, mörk hy, student, studerande
🧑‍🏫	instruktör, lärare, professor
🧑🏻‍🏫	instruktör, ljus hy, lärare, lärare: ljus hy, professor
🧑🏼‍🏫	instruktör, lärare, lärare: mellanljus hy, mellanljus hy, professor
🧑🏽‍🏫	instruktör, lärare, lärare: mellanfärgad hy, mellanfärgad hy, professor
