‾	pārsvītrojums, vinkuls, virssvītrojums
🧑🏽‍🤝‍🧑🏾	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidējs ādas tonis un vidēji tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji tumšs ādas tonis, vidējs ādas tonis
🧑🏽‍🤝‍🧑🏿	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidējs ādas tonis un tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis, vidējs ādas tonis
🧑🏾‍🤝‍🧑🏻	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji tumšs ādas tonis un gaišs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji tumšs ādas tonis
🧑🏾‍🤝‍🧑🏼	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji tumšs ādas tonis un vidēji gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis
🧑🏾‍🤝‍🧑🏽	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji tumšs ādas tonis un vidējs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji tumšs ādas tonis, vidējs ādas tonis
🧑🏾‍🤝‍🧑🏾	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, vidēji tumšs ādas tonis
🧑🏾‍🤝‍🧑🏿	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: vidēji tumšs ādas tonis un tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis, vidēji tumšs ādas tonis
🧑🏿‍🤝‍🧑🏻	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: tumšs ādas tonis un gaišs ādas tonis, gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis
🧑🏿‍🤝‍🧑🏼	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: tumšs ādas tonis un vidēji gaišs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis, vidēji gaišs ādas tonis
🧑🏿‍🤝‍🧑🏽	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: tumšs ādas tonis un vidējs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis, vidējs ādas tonis
🧑🏿‍🤝‍🧑🏾	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: tumšs ādas tonis un vidēji tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis, vidēji tumšs ādas tonis
🧑🏿‍🤝‍🧑🏿	cilvēki, cilvēki sadevušies rokās, cilvēki sadevušies rokās: tumšs ādas tonis, persona, pāris, roka, sadotas rokas, satvēriens, tumšs ādas tonis
👭	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās
👭🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: gaišs ādas tonis
👩🏻‍🤝‍👩🏼	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: gaišs ādas tonis un vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
👩🏻‍🤝‍👩🏽	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: gaišs ādas tonis un vidējs ādas tonis, vidējs ādas tonis
👩🏻‍🤝‍👩🏾	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: gaišs ādas tonis un vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏻‍🤝‍👩🏿	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: gaišs ādas tonis un tumšs ādas tonis, tumšs ādas tonis
👩🏼‍🤝‍👩🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji gaišs ādas tonis un gaišs ādas tonis, vidēji gaišs ādas tonis
👭🏼	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis
👩🏼‍🤝‍👩🏽	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji gaišs ādas tonis un vidējs ādas tonis, vidēji gaišs ādas tonis, vidējs ādas tonis
👩🏼‍🤝‍👩🏾	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji gaišs ādas tonis un vidēji tumšs ādas tonis, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis
👩🏼‍🤝‍👩🏿	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji gaišs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vidēji gaišs ādas tonis
👩🏽‍🤝‍👩🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidējs ādas tonis un gaišs ādas tonis, vidējs ādas tonis
👩🏽‍🤝‍👩🏼	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidējs ādas tonis un vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vidējs ādas tonis
👭🏽	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidējs ādas tonis, vidējs ādas tonis
👩🏽‍🤝‍👩🏾	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidējs ādas tonis un vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vidējs ādas tonis
👩🏽‍🤝‍👩🏿	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidējs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vidējs ādas tonis
👩🏾‍🤝‍👩🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji tumšs ādas tonis un gaišs ādas tonis, vidēji tumšs ādas tonis
👩🏾‍🤝‍👩🏼	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji tumšs ādas tonis un vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis
👩🏾‍🤝‍👩🏽	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji tumšs ādas tonis un vidējs ādas tonis, vidēji tumšs ādas tonis, vidējs ādas tonis
👭🏾	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏾‍🤝‍👩🏿	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: vidēji tumšs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vidēji tumšs ādas tonis
👩🏿‍🤝‍👩🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: tumšs ādas tonis un gaišs ādas tonis, tumšs ādas tonis
👩🏿‍🤝‍👩🏼	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: tumšs ādas tonis un vidēji gaišs ādas tonis, tumšs ādas tonis, vidēji gaišs ādas tonis
👩🏿‍🤝‍👩🏽	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: tumšs ādas tonis un vidējs ādas tonis, tumšs ādas tonis, vidējs ādas tonis
👩🏿‍🤝‍👩🏾	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: tumšs ādas tonis un vidēji tumšs ādas tonis, tumšs ādas tonis, vidēji tumšs ādas tonis
👭🏿	pāris, rokas, sadot, sieviete, sievietes sadevušās rokās, sievietes sadevušās rokās: tumšs ādas tonis, tumšs ādas tonis
👫	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, vīrietis
👫🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: gaišs ādas tonis, vīrietis
👩🏻‍🤝‍👨🏼	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: gaišs ādas tonis un vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👩🏻‍🤝‍👨🏽	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: gaišs ādas tonis un vidējs ādas tonis, vidējs ādas tonis, vīrietis
👩🏻‍🤝‍👨🏾	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: gaišs ādas tonis un vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👩🏻‍🤝‍👨🏿	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: gaišs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vīrietis
👩🏼‍🤝‍👨🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji gaišs ādas tonis un gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👫🏼	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👩🏼‍🤝‍👨🏽	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji gaišs ādas tonis un vidējs ādas tonis, vidēji gaišs ādas tonis, vidējs ādas tonis, vīrietis
👩🏼‍🤝‍👨🏾	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji gaišs ādas tonis un vidēji tumšs ādas tonis, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👩🏼‍🤝‍👨🏿	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji gaišs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👩🏽‍🤝‍👨🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidējs ādas tonis un gaišs ādas tonis, vidējs ādas tonis, vīrietis
👩🏽‍🤝‍👨🏼	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidējs ādas tonis un vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vidējs ādas tonis, vīrietis
👫🏽	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidējs ādas tonis, vidējs ādas tonis, vīrietis
👩🏽‍🤝‍👨🏾	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidējs ādas tonis un vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vidējs ādas tonis, vīrietis
👩🏽‍🤝‍👨🏿	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidējs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vidējs ādas tonis, vīrietis
👩🏾‍🤝‍👨🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji tumšs ādas tonis un gaišs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👩🏾‍🤝‍👨🏼	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji tumšs ādas tonis un vidēji gaišs ādas tonis, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👩🏾‍🤝‍👨🏽	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji tumšs ādas tonis un vidējs ādas tonis, vidēji tumšs ādas tonis, vidējs ādas tonis, vīrietis
👫🏾	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👩🏾‍🤝‍👨🏿	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: vidēji tumšs ādas tonis un tumšs ādas tonis, tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👩🏿‍🤝‍👨🏻	gaišs ādas tonis, pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: tumšs ādas tonis un gaišs ādas tonis, tumšs ādas tonis, vīrietis
👩🏿‍🤝‍👨🏼	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: tumšs ādas tonis un vidēji gaišs ādas tonis, tumšs ādas tonis, vidēji gaišs ādas tonis, vīrietis
👩🏿‍🤝‍👨🏽	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: tumšs ādas tonis un vidējs ādas tonis, tumšs ādas tonis, vidējs ādas tonis, vīrietis
👩🏿‍🤝‍👨🏾	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: tumšs ādas tonis un vidēji tumšs ādas tonis, tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis
👫🏿	pāris, rokas, sadot, sieviete, sieviete un vīrietis sadevušies rokās, sieviete un vīrietis sadevušies rokās: tumšs ādas tonis, tumšs ādas tonis, vīrietis
👬	dvīņi, pāris, rokas, sadot, sieviete, vīrietis, vīrieši sadevušies rokās, zodiaks
👬🏻	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: gaišs ādas tonis, zodiaks
👨🏻‍🤝‍👨🏼	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: gaišs ādas tonis un vidēji gaišs ādas tonis, zodiaks
👨🏻‍🤝‍👨🏽	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: gaišs ādas tonis un vidējs ādas tonis, zodiaks
👨🏻‍🤝‍👨🏾	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: gaišs ādas tonis un vidēji tumšs ādas tonis, zodiaks
👨🏻‍🤝‍👨🏿	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: gaišs ādas tonis un tumšs ādas tonis, zodiaks
👨🏼‍🤝‍👨🏻	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji gaišs ādas tonis un gaišs ādas tonis, zodiaks
👬🏼	dvīņi, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji gaišs ādas tonis, zodiaks
👨🏼‍🤝‍👨🏽	dvīņi, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji gaišs ādas tonis un vidējs ādas tonis, zodiaks
👨🏼‍🤝‍👨🏾	dvīņi, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji gaišs ādas tonis un vidēji tumšs ādas tonis, zodiaks
👨🏼‍🤝‍👨🏿	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidēji gaišs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji gaišs ādas tonis un tumšs ādas tonis, zodiaks
👨🏽‍🤝‍👨🏻	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidējs ādas tonis un gaišs ādas tonis, zodiaks
👨🏽‍🤝‍👨🏼	dvīņi, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidējs ādas tonis un vidēji gaišs ādas tonis, zodiaks
👬🏽	dvīņi, pāris, rokas, sadot, sieviete, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidējs ādas tonis, zodiaks
👨🏽‍🤝‍👨🏾	dvīņi, pāris, rokas, sadot, sieviete, vidēji tumšs ādas tonis, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidējs ādas tonis un vidēji tumšs ādas tonis, zodiaks
👨🏽‍🤝‍👨🏿	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidējs ādas tonis un tumšs ādas tonis, zodiaks
👨🏾‍🤝‍👨🏻	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji tumšs ādas tonis un gaišs ādas tonis, zodiaks
👨🏾‍🤝‍👨🏼	dvīņi, pāris, rokas, sadot, sieviete, vidēji gaišs ādas tonis, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji tumšs ādas tonis un vidēji gaišs ādas tonis, zodiaks
👨🏾‍🤝‍👨🏽	dvīņi, pāris, rokas, sadot, sieviete, vidēji tumšs ādas tonis, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji tumšs ādas tonis un vidējs ādas tonis, zodiaks
👬🏾	dvīņi, pāris, rokas, sadot, sieviete, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji tumšs ādas tonis, zodiaks
👨🏾‍🤝‍👨🏿	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: vidēji tumšs ādas tonis un tumšs ādas tonis, zodiaks
👨🏿‍🤝‍👨🏻	dvīņi, gaišs ādas tonis, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: tumšs ādas tonis un gaišs ādas tonis, zodiaks
👨🏿‍🤝‍👨🏼	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidēji gaišs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: tumšs ādas tonis un vidēji gaišs ādas tonis, zodiaks
👨🏿‍🤝‍👨🏽	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidējs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: tumšs ādas tonis un vidējs ādas tonis, zodiaks
👨🏿‍🤝‍👨🏾	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vidēji tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: tumšs ādas tonis un vidēji tumšs ādas tonis, zodiaks
👬🏿	dvīņi, pāris, rokas, sadot, sieviete, tumšs ādas tonis, vīrietis, vīrieši sadevušies rokās, vīrieši sadevušies rokās: tumšs ādas tonis, zodiaks
